session_id,user_id,activity,activity_datetime
20230119-00000002,20230101-00000003,landing_page,2023-01-19 13:37:52.000000000
20230119-00000002,20230101-00000003,product_view,2023-01-19 13:43:27.857001791
20230119-00000002,20230101-00000003,add_to_cart,2023-01-19 13:52:43.399615027
20230120-00000001,20230108-00000067,landing_page,2023-01-20 05:01:25.000000000
20230120-00000001,20230108-00000067,product_view,2023-01-20 05:03:54.227447120
20230120-00000002,20230101-00000003,landing_page,2023-01-20 16:18:06.000000000
20230120-00000003,20230119-00000096,landing_page,2023-01-20 23:49:03.000000000
20230121-00000001,20230101-00000046,landing_page,2023-01-21 05:38:32.000000000
20230121-00000001,20230101-00000046,product_view,2023-01-21 05:42:05.730259263
20230121-00000002,20230108-00000067,landing_page,2023-01-21 08:25:10.000000000
20230121-00000002,20230108-00000067,product_view,2023-01-21 08:25:15.614567199
20230121-00000003,20230114-00000084,landing_page,2023-01-21 08:45:51.000000000
20230121-00000003,20230114-00000084,product_view,2023-01-21 08:46:52.444112046
20230121-00000004,20230101-00000035,landing_page,2023-01-21 09:37:44.000000000
20230121-00000004,20230101-00000035,product_view,2023-01-21 09:37:52.353905338
20230121-00000005,20230101-00000047,landing_page,2023-01-21 11:31:43.000000000
20230121-00000005,20230101-00000047,product_view,2023-01-21 11:33:25.705939595
20230121-00000006,20230101-00000030,landing_page,2023-01-21 12:50:07.000000000
20230121-00000006,20230101-00000030,product_view,2023-01-21 12:51:23.887097969
20230121-00000007,20230101-00000006,landing_page,2023-01-21 15:23:58.000000000
20230121-00000008,20230101-00000028,landing_page,2023-01-21 18:18:23.000000000
20230121-00000008,20230101-00000028,product_view,2023-01-21 18:22:12.120828171
20230121-00000009,20230108-00000066,landing_page,2023-01-21 19:32:16.000000000
20230121-00000009,20230108-00000066,product_view,2023-01-21 19:33:44.491308170
20230121-00000009,20230108-00000066,add_to_cart,2023-01-21 19:34:33.504680835
20230121-00000009,20230108-00000066,checkout,2023-01-21 19:46:17.619465284
20230121-00000009,20230108-00000066,paid,2023-01-21 20:02:10.707461990
20230121-00000010,20230118-00000095,landing_page,2023-01-21 20:07:30.000000000
20230121-00000011,20230111-00000074,landing_page,2023-01-21 22:54:23.000000000
20230122-00000001,20230107-00000063,landing_page,2023-01-22 06:13:50.000000000
20230122-00000001,20230107-00000063,product_view,2023-01-22 06:15:43.732607962
20230122-00000002,20230101-00000002,landing_page,2023-01-22 19:38:17.000000000
20230123-00000001,20230101-00000027,landing_page,2023-01-23 11:24:44.000000000
20230123-00000001,20230101-00000027,product_view,2023-01-23 11:26:54.206418472
20230123-00000001,20230101-00000027,add_to_cart,2023-01-23 11:30:17.741386055
20230123-00000002,20230107-00000061,landing_page,2023-01-23 19:24:42.000000000
20230124-00000001,20230112-00000077,landing_page,2023-01-24 08:43:43.000000000
20230124-00000001,20230112-00000077,product_view,2023-01-24 08:45:51.666675674
20230124-00000002,20230118-00000093,landing_page,2023-01-24 16:08:41.000000000
20230124-00000002,20230118-00000093,product_view,2023-01-24 16:10:52.995153364
20230124-00000002,20230118-00000093,add_to_cart,2023-01-24 16:16:23.613483994
20230124-00000002,20230118-00000093,checkout,2023-01-24 16:26:27.510652678
20230124-00000002,20230118-00000093,paid,2023-01-24 16:27:31.362537308
20230124-00000003,20230122-00000108,landing_page,2023-01-24 17:59:34.000000000
20230124-00000003,20230122-00000108,product_view,2023-01-24 18:00:15.573166727
20230125-00000001,20230112-00000075,landing_page,2023-01-25 06:13:21.000000000
20230125-00000001,20230112-00000075,product_view,2023-01-25 06:15:37.226174180
20230125-00000001,20230112-00000075,add_to_cart,2023-01-25 06:21:43.257506208
20230125-00000001,20230112-00000075,checkout,2023-01-25 06:30:15.671334940
20230125-00000002,20230108-00000064,landing_page,2023-01-25 15:36:28.000000000
20230125-00000002,20230108-00000064,product_view,2023-01-25 15:36:57.537029288
20230125-00000002,20230108-00000064,add_to_cart,2023-01-25 15:37:31.288236967
20230125-00000003,20230101-00000042,landing_page,2023-01-25 20:53:02.000000000
20230125-00000003,20230101-00000042,product_view,2023-01-25 20:53:53.349154330
20230125-00000003,20230101-00000042,add_to_cart,2023-01-25 21:05:35.333706507
20230125-00000003,20230101-00000042,checkout,2023-01-25 21:10:21.994803067
20230125-00000003,20230101-00000042,paid,2023-01-25 21:13:05.952936649
20230126-00000001,20230101-00000039,landing_page,2023-01-26 06:28:56.000000000
20230126-00000002,20230121-00000103,landing_page,2023-01-26 07:01:13.000000000
20230126-00000002,20230121-00000103,product_view,2023-01-26 07:04:26.575354532
20230126-00000003,20230101-00000022,landing_page,2023-01-26 20:46:33.000000000
20230126-00000003,20230101-00000022,product_view,2023-01-26 20:47:17.585711882
20230126-00000003,20230101-00000022,add_to_cart,2023-01-26 20:54:33.560565213
20230126-00000003,20230101-00000022,checkout,2023-01-26 20:58:54.032325579
20230126-00000003,20230101-00000022,paid,2023-01-26 21:50:06.317399288
20230127-00000001,20230112-00000075,landing_page,2023-01-27 08:33:55.000000000
20230127-00000001,20230112-00000075,product_view,2023-01-27 08:42:10.232218180
20230127-00000001,20230112-00000075,add_to_cart,2023-01-27 08:59:28.587262938
20230127-00000002,20230107-00000063,landing_page,2023-01-27 10:48:36.000000000
20230127-00000002,20230107-00000063,product_view,2023-01-27 10:49:39.289495733
20230127-00000003,20230122-00000106,landing_page,2023-01-27 18:54:25.000000000
20230127-00000003,20230122-00000106,product_view,2023-01-27 18:56:20.160218409
20230127-00000003,20230122-00000106,add_to_cart,2023-01-27 19:03:32.305025527
20230127-00000003,20230122-00000106,checkout,2023-01-27 19:07:54.010933741
20230127-00000003,20230122-00000106,paid,2023-01-27 19:12:06.912787902
20230127-00000004,20230116-00000089,landing_page,2023-01-27 21:51:54.000000000
20230128-00000001,20230127-00000118,landing_page,2023-01-28 06:51:26.000000000
20230128-00000002,20230105-00000055,landing_page,2023-01-28 10:42:36.000000000
20230128-00000002,20230105-00000055,product_view,2023-01-28 10:44:43.736663116
20230128-00000002,20230105-00000055,add_to_cart,2023-01-28 10:46:10.091107750
20230128-00000003,20230128-00000121,landing_page,2023-01-28 10:56:27.000000000
20230128-00000004,20230101-00000021,landing_page,2023-01-28 18:04:47.000000000
20230128-00000005,20230101-00000039,landing_page,2023-01-28 18:20:10.000000000
20230128-00000005,20230101-00000039,product_view,2023-01-28 18:20:40.547368816
20230128-00000006,20230127-00000120,landing_page,2023-01-28 19:51:42.000000000
20230128-00000006,20230127-00000120,product_view,2023-01-28 20:06:09.108184608
20230128-00000006,20230127-00000120,add_to_cart,2023-01-28 20:10:23.923034285
20230128-00000007,20230102-00000053,landing_page,2023-01-28 21:36:07.000000000
20230128-00000007,20230102-00000053,product_view,2023-01-28 21:37:43.756420654
20230128-00000007,20230102-00000053,add_to_cart,2023-01-28 21:39:33.420101353
20230128-00000007,20230102-00000053,checkout,2023-01-28 21:42:04.135528912
20230128-00000008,20230127-00000117,landing_page,2023-01-28 23:31:28.000000000
20230128-00000008,20230127-00000117,product_view,2023-01-28 23:32:38.406624458
20230128-00000008,20230127-00000117,add_to_cart,2023-01-28 23:33:43.757045580
20230128-00000008,20230127-00000117,checkout,2023-01-28 23:39:08.309017207
20230128-00000008,20230127-00000117,paid,2023-01-28 23:42:14.739109153
20230129-00000001,20230105-00000055,landing_page,2023-01-29 06:07:29.000000000
20230129-00000002,20230121-00000103,landing_page,2023-01-29 08:55:12.000000000
20230129-00000002,20230121-00000103,product_view,2023-01-29 08:55:34.455120353
20230129-00000002,20230121-00000103,add_to_cart,2023-01-29 08:59:36.949644543
20230129-00000002,20230121-00000103,checkout,2023-01-29 09:07:42.241030282
20230129-00000002,20230121-00000103,paid,2023-01-29 09:08:13.038272481
20230129-00000003,20230116-00000090,landing_page,2023-01-29 13:16:35.000000000
20230129-00000003,20230116-00000090,product_view,2023-01-29 13:18:31.407751590
20230129-00000003,20230116-00000090,add_to_cart,2023-01-29 13:25:24.032751494
20230129-00000004,20230128-00000123,landing_page,2023-01-29 14:14:24.000000000
20230129-00000004,20230128-00000123,product_view,2023-01-29 14:15:01.164309502
20230129-00000004,20230128-00000123,add_to_cart,2023-01-29 14:46:47.395566000
20230129-00000005,20230101-00000023,landing_page,2023-01-29 14:16:49.000000000
20230129-00000006,20230101-00000029,landing_page,2023-01-29 14:59:45.000000000
20230129-00000007,20230101-00000046,landing_page,2023-01-29 15:28:30.000000000
20230129-00000008,20230101-00000005,landing_page,2023-01-29 16:05:59.000000000
20230129-00000008,20230101-00000005,product_view,2023-01-29 16:07:58.306246112
20230129-00000009,20230122-00000108,landing_page,2023-01-29 17:34:01.000000000
20230129-00000010,20230102-00000053,landing_page,2023-01-29 21:10:40.000000000
20230129-00000011,20230108-00000064,landing_page,2023-01-29 23:56:43.000000000
20230129-00000011,20230108-00000064,product_view,2023-01-30 00:04:56.203861392
20230130-00000001,20230107-00000063,landing_page,2023-01-30 08:58:07.000000000
20230130-00000001,20230107-00000063,product_view,2023-01-30 08:58:46.737170179
20230130-00000001,20230107-00000063,add_to_cart,2023-01-30 09:04:26.051280554
20230130-00000001,20230107-00000063,checkout,2023-01-30 09:11:36.822389588
20230130-00000002,20230116-00000091,landing_page,2023-01-30 09:41:11.000000000
20230130-00000002,20230116-00000091,product_view,2023-01-30 09:42:26.718990858
20230130-00000002,20230116-00000091,add_to_cart,2023-01-30 09:49:59.868755823
20230130-00000002,20230116-00000091,checkout,2023-01-30 09:54:57.665973315
20230130-00000002,20230116-00000091,paid,2023-01-30 12:16:22.527440602
20230131-00000001,20230101-00000039,landing_page,2023-01-31 04:23:17.000000000
20230131-00000002,20230107-00000062,landing_page,2023-01-31 10:02:13.000000000
20230131-00000003,20230120-00000099,landing_page,2023-01-31 21:34:14.000000000
20230201-00000001,20230121-00000102,landing_page,2023-02-01 14:03:46.000000000
20230201-00000002,20230121-00000104,landing_page,2023-02-01 20:01:57.000000000
20230201-00000002,20230121-00000104,product_view,2023-02-01 20:04:16.507669044
20230201-00000002,20230121-00000104,add_to_cart,2023-02-01 20:05:22.523226225
20230202-00000001,20230121-00000102,landing_page,2023-02-02 06:34:02.000000000
20230202-00000001,20230121-00000102,product_view,2023-02-02 06:35:41.526612066
20230202-00000002,20230127-00000119,landing_page,2023-02-02 08:13:36.000000000
20230202-00000003,20230101-00000030,landing_page,2023-02-02 09:43:30.000000000
20230202-00000004,20230101-00000042,landing_page,2023-02-02 12:28:17.000000000
20230202-00000005,20230129-00000130,landing_page,2023-02-02 14:27:02.000000000
20230202-00000005,20230129-00000130,product_view,2023-02-02 14:27:18.151689089
20230202-00000006,20230108-00000066,landing_page,2023-02-02 18:52:56.000000000
20230202-00000006,20230108-00000066,product_view,2023-02-02 18:53:16.454514507
20230203-00000001,20230101-00000026,landing_page,2023-02-03 07:18:10.000000000
20230203-00000001,20230101-00000026,product_view,2023-02-03 07:18:16.798663654
20230203-00000002,20230116-00000091,landing_page,2023-02-03 15:19:18.000000000
20230203-00000002,20230116-00000091,product_view,2023-02-03 15:22:44.164305618
20230203-00000003,20230108-00000064,landing_page,2023-02-03 15:41:50.000000000
20230203-00000004,20230101-00000029,landing_page,2023-02-03 18:26:51.000000000
20230203-00000004,20230101-00000029,product_view,2023-02-03 18:27:12.257841543
20230203-00000004,20230101-00000029,add_to_cart,2023-02-03 18:32:18.447772772
20230203-00000004,20230101-00000029,checkout,2023-02-03 18:42:58.592640011
20230203-00000004,20230101-00000029,paid,2023-02-03 18:43:36.719212454
20230204-00000001,20230128-00000122,landing_page,2023-02-04 05:45:04.000000000
20230204-00000001,20230128-00000122,product_view,2023-02-04 05:45:17.584065032
20230204-00000001,20230128-00000122,add_to_cart,2023-02-04 05:56:31.167506202
20230204-00000001,20230128-00000122,checkout,2023-02-04 06:03:04.873682736
20230204-00000002,20230129-00000127,landing_page,2023-02-04 12:35:54.000000000
20230204-00000003,20230126-00000116,landing_page,2023-02-04 14:51:04.000000000
20230204-00000004,20230101-00000041,landing_page,2023-02-04 15:36:53.000000000
20230204-00000004,20230101-00000041,product_view,2023-02-04 15:38:21.957275586
20230204-00000004,20230101-00000041,add_to_cart,2023-02-04 15:39:01.478277427
20230204-00000004,20230101-00000041,checkout,2023-02-04 15:49:18.991994437
20230204-00000004,20230101-00000041,paid,2023-02-04 17:06:42.050174482
20230204-00000005,20230101-00000045,landing_page,2023-02-04 19:11:28.000000000
20230204-00000005,20230101-00000045,product_view,2023-02-04 19:14:06.599002955
20230204-00000006,20230202-00000138,landing_page,2023-02-04 19:40:11.000000000
20230204-00000007,20230101-00000035,landing_page,2023-02-04 20:07:32.000000000
20230204-00000007,20230101-00000035,product_view,2023-02-04 20:08:40.607102849
20230204-00000007,20230101-00000035,add_to_cart,2023-02-04 20:14:49.289878297
20230204-00000007,20230101-00000035,checkout,2023-02-04 20:25:44.092151886
20230204-00000007,20230101-00000035,paid,2023-02-04 20:59:40.426978185
20230204-00000008,20230111-00000073,landing_page,2023-02-04 21:10:26.000000000
20230204-00000008,20230111-00000073,product_view,2023-02-04 21:12:40.266722033
20230204-00000008,20230111-00000073,add_to_cart,2023-02-04 21:15:32.849353790
20230204-00000009,20230129-00000125,landing_page,2023-02-04 21:31:38.000000000
20230205-00000001,20230118-00000093,landing_page,2023-02-05 05:35:56.000000000
20230205-00000001,20230118-00000093,product_view,2023-02-05 05:40:37.474523110
20230205-00000001,20230118-00000093,add_to_cart,2023-02-05 05:43:03.038986349
20230205-00000001,20230118-00000093,checkout,2023-02-05 05:48:53.966899639
20230205-00000001,20230118-00000093,paid,2023-02-05 07:42:29.147977793
20230205-00000002,20230101-00000002,landing_page,2023-02-05 11:32:50.000000000
20230205-00000003,20230101-00000021,landing_page,2023-02-05 12:27:30.000000000
20230205-00000003,20230101-00000021,product_view,2023-02-05 12:28:09.692722577
20230205-00000003,20230101-00000021,add_to_cart,2023-02-05 12:34:02.707806502
20230205-00000003,20230101-00000021,checkout,2023-02-05 12:42:20.153465796
20230205-00000003,20230101-00000021,paid,2023-02-05 12:56:04.847485371
20230205-00000004,20230101-00000005,landing_page,2023-02-05 14:41:06.000000000
20230205-00000004,20230101-00000005,product_view,2023-02-05 14:42:14.204426181
20230205-00000004,20230101-00000005,add_to_cart,2023-02-05 14:43:57.859356480
20230205-00000005,20230107-00000062,landing_page,2023-02-05 15:23:47.000000000
20230206-00000001,20230108-00000066,landing_page,2023-02-06 08:43:22.000000000
20230206-00000001,20230108-00000066,product_view,2023-02-06 08:45:54.644554992
20230206-00000001,20230108-00000066,add_to_cart,2023-02-06 08:51:53.362335073
20230206-00000002,20230107-00000062,landing_page,2023-02-06 11:56:49.000000000
20230206-00000002,20230107-00000062,product_view,2023-02-06 11:57:15.263850535
20230206-00000002,20230107-00000062,add_to_cart,2023-02-06 12:18:01.793588243
20230206-00000002,20230107-00000062,checkout,2023-02-06 12:21:12.837449595
20230206-00000002,20230107-00000062,paid,2023-02-06 13:10:01.073199887
20230206-00000003,20230204-00000143,landing_page,2023-02-06 14:28:19.000000000
20230206-00000003,20230204-00000143,product_view,2023-02-06 14:35:01.526810067
20230206-00000003,20230204-00000143,add_to_cart,2023-02-06 14:37:56.121608985
20230206-00000004,20230114-00000084,landing_page,2023-02-06 14:32:32.000000000
20230206-00000005,20230101-00000039,landing_page,2023-02-06 15:20:48.000000000
20230206-00000005,20230101-00000039,product_view,2023-02-06 15:27:23.827093689
20230206-00000006,20230101-00000015,landing_page,2023-02-06 16:32:50.000000000
20230206-00000006,20230101-00000015,product_view,2023-02-06 16:34:00.749070305
20230207-00000001,20230118-00000093,landing_page,2023-02-07 07:04:49.000000000
20230207-00000001,20230118-00000093,product_view,2023-02-07 07:13:19.450173666
20230207-00000002,20230129-00000130,landing_page,2023-02-07 08:38:26.000000000
20230207-00000002,20230129-00000130,product_view,2023-02-07 08:38:36.308441686
20230207-00000003,20230101-00000037,landing_page,2023-02-07 11:45:28.000000000
20230207-00000004,20230201-00000135,landing_page,2023-02-07 22:49:49.000000000
20230207-00000004,20230201-00000135,product_view,2023-02-07 22:50:16.172709570
20230207-00000004,20230201-00000135,add_to_cart,2023-02-07 22:50:30.611152944
20230207-00000005,20230116-00000090,landing_page,2023-02-07 23:08:44.000000000
20230207-00000005,20230116-00000090,product_view,2023-02-07 23:15:04.160296655
20230207-00000005,20230116-00000090,add_to_cart,2023-02-07 23:16:58.494871226
20230207-00000005,20230116-00000090,checkout,2023-02-07 23:19:31.353327757
20230207-00000005,20230116-00000090,paid,2023-02-08 01:11:46.641775130
20230208-00000001,20230127-00000117,landing_page,2023-02-08 13:26:34.000000000
20230208-00000001,20230127-00000117,product_view,2023-02-08 13:32:10.947214660
20230208-00000001,20230127-00000117,add_to_cart,2023-02-08 13:40:16.027062521
20230208-00000001,20230127-00000117,checkout,2023-02-08 13:49:09.077281952
20230208-00000001,20230127-00000117,paid,2023-02-08 16:06:05.056779981
20230208-00000002,20230120-00000100,landing_page,2023-02-08 16:20:42.000000000
20230208-00000002,20230120-00000100,product_view,2023-02-08 16:21:03.653012329
20230209-00000001,20230208-00000157,landing_page,2023-02-09 12:05:29.000000000
20230209-00000001,20230208-00000157,product_view,2023-02-09 12:07:37.271137762
20230209-00000001,20230208-00000157,add_to_cart,2023-02-09 12:15:39.520624263
20230209-00000001,20230208-00000157,checkout,2023-02-09 12:22:49.721678750
20230209-00000001,20230208-00000157,paid,2023-02-09 12:34:04.459937554
20230209-00000002,20230203-00000139,landing_page,2023-02-09 12:48:45.000000000
20230209-00000003,20230108-00000067,landing_page,2023-02-09 16:20:10.000000000
20230209-00000003,20230108-00000067,product_view,2023-02-09 16:23:43.210232876
20230209-00000003,20230108-00000067,add_to_cart,2023-02-09 16:25:28.485946267
20230209-00000003,20230108-00000067,checkout,2023-02-09 16:32:44.942256176
20230209-00000004,20230125-00000115,landing_page,2023-02-09 17:15:44.000000000
20230209-00000004,20230125-00000115,product_view,2023-02-09 17:19:48.885987191
20230209-00000004,20230125-00000115,add_to_cart,2023-02-09 17:21:23.601122618
20230209-00000004,20230125-00000115,checkout,2023-02-09 17:24:37.500324140
20230210-00000001,20230114-00000085,landing_page,2023-02-10 11:11:47.000000000
20230210-00000002,20230129-00000130,landing_page,2023-02-10 14:05:43.000000000
20230210-00000003,20230204-00000140,landing_page,2023-02-10 19:09:59.000000000
20230210-00000004,20230115-00000087,landing_page,2023-02-10 21:49:49.000000000
20230210-00000005,20230101-00000023,landing_page,2023-02-10 23:22:12.000000000
20230210-00000006,20230126-00000116,landing_page,2023-02-10 23:27:31.000000000
20230210-00000006,20230126-00000116,product_view,2023-02-10 23:29:42.434299814
20230210-00000006,20230126-00000116,add_to_cart,2023-02-10 23:34:56.416410858
20230211-00000001,20230121-00000102,landing_page,2023-02-11 05:45:22.000000000
20230211-00000002,20230101-00000030,landing_page,2023-02-11 08:10:24.000000000
20230211-00000002,20230101-00000030,product_view,2023-02-11 08:12:12.212823269
20230211-00000003,20230207-00000153,landing_page,2023-02-11 10:41:15.000000000
20230211-00000003,20230207-00000153,product_view,2023-02-11 10:52:53.745883475
20230211-00000004,20230101-00000024,landing_page,2023-02-11 11:09:06.000000000
20230211-00000004,20230101-00000024,product_view,2023-02-11 11:16:53.978493525
20230211-00000004,20230101-00000024,add_to_cart,2023-02-11 11:24:28.756840001
20230211-00000004,20230101-00000024,checkout,2023-02-11 11:32:48.506341745
20230211-00000004,20230101-00000024,paid,2023-02-11 11:34:28.848288959
20230211-00000005,20230118-00000092,landing_page,2023-02-11 11:29:47.000000000
20230211-00000006,20230120-00000100,landing_page,2023-02-11 14:04:42.000000000
20230211-00000006,20230120-00000100,product_view,2023-02-11 14:07:14.697916134
20230211-00000006,20230120-00000100,add_to_cart,2023-02-11 14:24:16.062776685
20230211-00000006,20230120-00000100,checkout,2023-02-11 14:30:19.877644817
20230211-00000006,20230120-00000100,paid,2023-02-11 14:33:29.390145125
20230211-00000007,20230101-00000035,landing_page,2023-02-11 19:09:37.000000000
20230211-00000007,20230101-00000035,product_view,2023-02-11 19:10:18.251546260
20230211-00000007,20230101-00000035,add_to_cart,2023-02-11 19:15:32.454929328
20230211-00000007,20230101-00000035,checkout,2023-02-11 19:20:32.662560775
20230211-00000007,20230101-00000035,paid,2023-02-12 00:42:42.835003687
20230211-00000008,20230118-00000094,landing_page,2023-02-11 19:14:31.000000000
20230211-00000008,20230118-00000094,product_view,2023-02-11 19:15:51.719116923
