session_id,user_id,trx_id,date,total_price
20230414-00000009,20230325-00000311,20230414-00000125,2023-04-14 20:33:45.580580383,129900
20230414-00000010,20230227-00000217,20230414-00000126,2023-04-14 22:28:07.142624156,412100
20230415-00000001,20230119-00000097,20230415-00000127,2023-04-15 02:25:45.957225178,999700
20230415-00000014,20230411-00000369,20230415-00000128,2023-04-15 16:40:15.245030422,583700
20230415-00000015,20230318-00000279,20230415-00000129,2023-04-15 17:49:25.544564837,353300
20230415-00000019,20230303-00000229,20230415-00000130,2023-04-15 18:24:51.455022280,575400
20230416-00000003,20230316-00000269,20230416-00000131,2023-04-16 09:45:18.948583100,736600
20230416-00000013,20230128-00000122,20230416-00000132,2023-04-16 17:02:09.608205877,270800
20230417-00000001,20230101-00000004,20230417-00000133,2023-04-17 08:43:49.263625039,1079100
20230417-00000006,20230118-00000092,20230417-00000134,2023-04-17 18:36:28.476405533,658300
20230417-00000009,20230208-00000154,20230417-00000135,2023-04-17 21:03:16.525854083,161100
20230418-00000003,20230401-00000328,20230418-00000136,2023-04-18 09:38:03.467007989,137200
20230419-00000002,20230223-00000205,20230419-00000137,2023-04-19 11:07:11.006686234,2216600
20230421-00000004,20230101-00000039,20230421-00000138,2023-04-21 09:03:02.215758479,2631600
20230421-00000005,20230419-00000400,20230421-00000139,2023-04-21 10:01:26.759039920,307500
20230421-00000006,20230101-00000033,20230421-00000140,2023-04-21 15:36:17.055668358,410000
20230421-00000016,20230303-00000227,20230421-00000141,2023-04-21 19:37:41.914466602,278100
20230422-00000006,20230410-00000363,20230422-00000142,2023-04-22 15:52:48.316130240,77500
20230422-00000013,20230129-00000126,20230422-00000143,2023-04-22 21:16:29.036362200,204200
20230423-00000002,20230112-00000077,20230423-00000144,2023-04-23 08:20:45.507578352,170800
20230423-00000003,20230413-00000378,20230423-00000145,2023-04-23 08:27:06.666056674,74800
20230423-00000008,20230110-00000071,20230423-00000146,2023-04-23 11:42:25.286139598,1088200
20230423-00000009,20230314-00000262,20230423-00000147,2023-04-23 11:50:38.790535143,662400
20230423-00000016,20230411-00000368,20230423-00000148,2023-04-23 18:28:25.173656176,1012500
20230424-00000001,20230223-00000205,20230424-00000149,2023-04-24 07:22:55.147438052,2030300
20230424-00000002,20230128-00000123,20230424-00000150,2023-04-24 09:23:44.924673698,169900
20230427-00000007,20230403-00000336,20230427-00000151,2023-04-27 19:00:26.316231382,328900
20230428-00000001,20230101-00000026,20230428-00000152,2023-04-28 05:45:41.817921214,752000
20230428-00000003,20230105-00000055,20230428-00000153,2023-04-28 09:49:06.968541404,423600
20230429-00000001,20230423-00000416,20230429-00000154,2023-04-29 05:22:55.625210525,107800
20230429-00000005,20230108-00000067,20230429-00000155,2023-04-29 07:41:50.018671098,1582100
20230429-00000009,20230101-00000021,20230429-00000156,2023-04-29 10:35:25.137729641,592300
20230429-00000014,20230306-00000236,20230429-00000157,2023-04-29 15:12:21.977907915,110900
20230429-00000021,20230101-00000024,20230429-00000158,2023-04-29 19:29:56.782477562,415900
20230430-00000001,20230323-00000292,20230430-00000159,2023-04-30 03:38:38.016084497,317000
20230430-00000005,20230426-00000420,20230430-00000160,2023-04-30 09:08:55.245926416,96900
20230430-00000010,20230406-00000347,20230430-00000161,2023-04-30 14:36:20.258330558,179100
20230430-00000016,20230419-00000400,20230430-00000162,2023-04-30 17:55:14.027032725,382800
20230501-00000001,20230421-00000407,20230501-00000163,2023-05-01 03:37:48.310454651,1275000
20230501-00000003,20230201-00000134,20230501-00000164,2023-05-01 08:50:23.528707704,268500
20230501-00000006,20230101-00000026,20230501-00000165,2023-05-01 13:44:36.022183942,1212700
20230501-00000010,20230323-00000292,20230501-00000166,2023-05-01 17:24:10.530248915,392500
20230501-00000012,20230313-00000255,20230501-00000167,2023-05-01 20:11:52.886386744,499400
20230502-00000001,20230323-00000292,20230502-00000168,2023-05-02 07:03:25.486804195,418800
20230502-00000004,20230101-00000037,20230502-00000169,2023-05-02 09:18:57.234486892,183700
20230502-00000007,20230419-00000400,20230502-00000170,2023-05-02 11:20:37.001231431,292000
20230503-00000001,20230411-00000369,20230503-00000171,2023-05-03 07:08:08.755711764,700900
20230503-00000013,20230314-00000259,20230503-00000172,2023-05-03 20:08:03.303247088,157300
20230504-00000004,20230101-00000034,20230504-00000173,2023-05-04 12:54:34.039875241,528500
20230504-00000010,20230324-00000302,20230504-00000174,2023-05-04 17:06:41.518429167,161600
20230505-00000004,20230323-00000292,20230505-00000175,2023-05-05 10:51:23.917178533,75700
20230505-00000006,20230411-00000369,20230505-00000176,2023-05-05 12:47:09.722172676,670700
20230505-00000008,20230128-00000122,20230505-00000177,2023-05-05 14:15:52.236723912,190800
20230505-00000009,20230429-00000437,20230505-00000178,2023-05-05 14:08:27.842604141,143200
20230505-00000018,20230415-00000386,20230505-00000179,2023-05-05 23:17:36.626252890,541500
20230506-00000007,20230421-00000407,20230506-00000180,2023-05-06 11:12:46.175106292,1321300
20230506-00000016,20230111-00000073,20230506-00000181,2023-05-06 21:58:05.749686090,1053900
20230506-00000031,20230308-00000243,20230507-00000182,2023-05-07 00:11:54.112529338,32500
20230507-00000002,20230429-00000436,20230507-00000183,2023-05-07 07:32:18.250778250,314100
20230507-00000013,20230121-00000104,20230507-00000184,2023-05-07 19:50:40.999174486,208900
20230508-00000001,20230302-00000225,20230508-00000185,2023-05-08 07:28:08.042486983,283400
20230508-00000004,20230219-00000189,20230508-00000186,2023-05-08 20:03:50.388097509,372200
20230509-00000004,20230423-00000415,20230509-00000187,2023-05-09 09:17:21.397318453,470200
20230509-00000009,20230101-00000047,20230509-00000188,2023-05-09 16:16:47.941407159,881400
20230509-00000012,20230404-00000340,20230510-00000189,2023-05-10 00:27:58.042156252,623900
20230511-00000007,20230101-00000021,20230511-00000190,2023-05-11 15:34:05.409510870,606600
20230511-00000012,20230101-00000004,20230511-00000191,2023-05-11 18:38:13.359331003,975200
20230512-00000006,20230101-00000039,20230512-00000192,2023-05-12 18:05:32.608096026,1807300
20230512-00000008,20230223-00000205,20230512-00000193,2023-05-12 14:31:19.057668986,446000
20230512-00000010,20230101-00000004,20230512-00000194,2023-05-12 14:46:42.734674337,1937800
20230512-00000019,20230207-00000153,20230512-00000195,2023-05-12 23:32:17.654580924,281000
20230513-00000002,20230222-00000200,20230513-00000196,2023-05-13 07:42:17.205814715,694100
20230513-00000010,20230101-00000024,20230513-00000197,2023-05-13 13:18:52.075294243,721600
20230513-00000020,20230409-00000359,20230513-00000198,2023-05-13 17:33:10.348071052,440300
20230514-00000003,20230512-00000476,20230514-00000199,2023-05-14 09:10:26.679223927,714700
20230514-00000005,20230303-00000227,20230514-00000200,2023-05-14 09:45:21.272238234,75200
20230514-00000007,20230121-00000102,20230514-00000201,2023-05-14 10:35:29.225666016,366400
20230514-00000008,20230226-00000214,20230514-00000202,2023-05-14 10:38:58.519985990,440000
20230514-00000009,20230101-00000004,20230514-00000203,2023-05-14 12:10:44.364223220,1069900
20230514-00000010,20230404-00000340,20230514-00000204,2023-05-14 10:38:43.512891835,515700
20230514-00000019,20230409-00000358,20230514-00000205,2023-05-14 19:06:16.424257493,347800
20230514-00000034,20230429-00000436,20230514-00000206,2023-05-14 23:42:27.051719690,731800
20230515-00000005,20230324-00000301,20230515-00000207,2023-05-15 11:39:39.880185988,302800
20230515-00000008,20230411-00000367,20230515-00000208,2023-05-15 21:31:45.907971867,265500
20230516-00000001,20230429-00000435,20230516-00000209,2023-05-16 04:11:45.602036118,336500
20230516-00000002,20230327-00000316,20230516-00000210,2023-05-16 06:00:56.655364095,494500
20230516-00000006,20230422-00000409,20230516-00000211,2023-05-16 09:27:19.404066996,749700
20230516-00000015,20230219-00000189,20230516-00000212,2023-05-16 22:28:22.261903441,205300
20230517-00000008,20230411-00000367,20230517-00000213,2023-05-17 19:27:44.504826408,243200
20230517-00000012,20230409-00000359,20230517-00000214,2023-05-17 23:28:21.960312140,638600
20230518-00000009,20230128-00000122,20230518-00000215,2023-05-18 14:35:01.429216319,227800
20230519-00000002,20230422-00000409,20230519-00000216,2023-05-19 08:12:21.192168214,676500
20230519-00000004,20230410-00000363,20230519-00000217,2023-05-19 12:15:15.048432855,421700
20230519-00000008,20230311-00000248,20230519-00000218,2023-05-19 17:14:58.334098150,230400
20230519-00000011,20230427-00000426,20230519-00000219,2023-05-19 18:51:47.579553300,284800
20230520-00000003,20230222-00000200,20230520-00000220,2023-05-20 09:17:37.286795747,440900
20230520-00000004,20230201-00000133,20230520-00000221,2023-05-20 09:27:43.229836072,226300
20230520-00000021,20230316-00000268,20230520-00000222,2023-05-20 20:22:48.839723893,308300
20230521-00000001,20230421-00000407,20230521-00000223,2023-05-21 04:55:57.041942792,1362700
20230521-00000021,20230101-00000024,20230521-00000224,2023-05-21 18:00:58.690874674,770000
20230521-00000022,20230128-00000123,20230521-00000225,2023-05-21 19:04:10.109574466,153800
20230521-00000027,20230330-00000320,20230521-00000226,2023-05-21 20:49:31.005202350,429500
20230522-00000006,20230327-00000316,20230522-00000227,2023-05-22 15:23:18.109225853,208900
20230524-00000004,20230105-00000055,20230524-00000228,2023-05-24 11:45:05.301257881,360700
20230525-00000001,20230302-00000225,20230525-00000229,2023-05-25 08:13:39.602857813,222000
20230526-00000002,20230101-00000026,20230526-00000230,2023-05-26 09:10:18.405095600,1299400
20230526-00000010,20230111-00000073,20230526-00000231,2023-05-26 19:55:17.863909594,283100
20230527-00000006,20230226-00000212,20230527-00000232,2023-05-27 07:25:06.431596858,171100
20230527-00000007,20230525-00000518,20230527-00000233,2023-05-27 08:25:56.759939920,127400
20230527-00000013,20230401-00000329,20230527-00000234,2023-05-27 10:05:38.637006503,356700
20230527-00000016,20230101-00000029,20230527-00000235,2023-05-27 11:34:49.200083707,260500
20230527-00000030,20230101-00000001,20230527-00000236,2023-05-27 18:47:38.168587357,225500
20230528-00000017,20230528-00000533,20230528-00000237,2023-05-28 16:19:09.878198689,228300
20230528-00000024,20230313-00000256,20230528-00000238,2023-05-28 20:41:23.897667833,108000
20230530-00000017,20230514-00000484,20230530-00000239,2023-05-30 19:55:27.892292422,126300
20230602-00000006,20230404-00000340,20230602-00000240,2023-06-02 11:43:25.459367306,454400
20230602-00000011,20230422-00000409,20230602-00000241,2023-06-02 15:24:36.480591636,673200
20230603-00000007,20230323-00000297,20230603-00000242,2023-06-03 11:02:32.075291943,307200
20230603-00000020,20230527-00000526,20230603-00000243,2023-06-03 14:54:51.212949256,649900
20230603-00000027,20230101-00000024,20230603-00000244,2023-06-03 17:25:45.644725071,440200
20230603-00000033,20230505-00000448,20230603-00000245,2023-06-03 21:03:46.124118996,424400
20230603-00000037,20230125-00000114,20230603-00000246,2023-06-03 22:58:58.584420282,60900
20230604-00000003,20230401-00000329,20230604-00000247,2023-06-04 11:06:51.475728100,714100
20230604-00000004,20230223-00000204,20230604-00000248,2023-06-04 08:18:50.498145426,463000
20230604-00000005,20230527-00000527,20230604-00000249,2023-06-04 09:16:09.830593968,637400
20230604-00000012,20230129-00000131,20230604-00000250,2023-06-04 12:12:36.878612386,436900
20230604-00000021,20230101-00000046,20230604-00000251,2023-06-04 16:06:47.552316637,500700
20230604-00000022,20230222-00000200,20230604-00000252,2023-06-04 16:30:43.735614038,551500
20230604-00000023,20230101-00000024,20230604-00000253,2023-06-04 16:14:52.110334543,395200
20230604-00000028,20230220-00000193,20230604-00000254,2023-06-04 17:56:04.477914420,101700
20230604-00000032,20230226-00000214,20230604-00000255,2023-06-04 19:13:06.536037899,809100
20230604-00000040,20230316-00000269,20230605-00000256,2023-06-05 00:17:18.003093102,543300
20230605-00000003,20230101-00000037,20230605-00000257,2023-06-05 09:35:38.552992756,306700
20230605-00000004,20230101-00000039,20230605-00000258,2023-06-05 11:30:37.922766748,1428900
20230605-00000007,20230101-00000025,20230605-00000259,2023-06-05 13:08:27.622100340,55500
20230605-00000009,20230128-00000122,20230605-00000260,2023-06-05 13:49:35.752144406,217100
20230605-00000012,20230323-00000292,20230605-00000261,2023-06-05 14:48:01.990545311,107500
20230605-00000017,20230411-00000368,20230605-00000262,2023-06-05 19:44:01.728844983,454700
20230606-00000003,20230401-00000327,20230606-00000263,2023-06-06 08:02:14.803300244,168400
20230606-00000005,20230408-00000357,20230606-00000264,2023-06-06 10:36:39.148303930,158200
20230606-00000013,20230409-00000358,20230606-00000265,2023-06-06 15:14:45.856508859,821900
20230607-00000010,20230427-00000424,20230607-00000266,2023-06-07 14:50:23.940089669,451100
20230607-00000017,20230419-00000402,20230607-00000267,2023-06-07 19:34:57.272068192,289400
20230608-00000006,20230509-00000467,20230608-00000268,2023-06-08 09:16:57.649248346,316200
20230608-00000011,20230316-00000269,20230608-00000269,2023-06-08 14:52:07.734402992,624500
20230609-00000005,20230101-00000028,20230609-00000270,2023-06-09 13:43:38.014216270,259500
20230609-00000009,20230514-00000485,20230609-00000271,2023-06-09 15:54:41.349561602,301100
20230610-00000010,20230508-00000460,20230610-00000272,2023-06-10 11:44:16.605865729,422800
20230610-00000014,20230610-00000562,20230610-00000273,2023-06-10 13:49:52.025919422,184400
20230610-00000025,20230226-00000214,20230610-00000274,2023-06-10 19:28:53.329144021,674000
20230611-00000019,20230419-00000400,20230611-00000275,2023-06-11 18:45:39.593710479,121400
20230611-00000030,20230219-00000187,20230611-00000276,2023-06-11 22:56:52.176583468,126400
20230612-00000004,20230517-00000492,20230612-00000277,2023-06-12 14:47:44.794055107,307600
20230612-00000005,20230609-00000561,20230612-00000278,2023-06-12 14:38:55.636370004,105900
20230612-00000009,20230410-00000365,20230612-00000279,2023-06-12 15:46:05.447489227,349600
20230612-00000013,20230419-00000400,20230612-00000280,2023-06-12 19:28:39.947904407,107800
20230613-00000004,20230510-00000472,20230613-00000281,2023-06-13 10:42:03.865767103,76000
20230613-00000012,20230314-00000260,20230613-00000282,2023-06-13 15:42:34.881823994,356500
20230613-00000013,20230331-00000323,20230613-00000283,2023-06-13 19:18:53.949369342,90600
20230613-00000014,20230429-00000435,20230613-00000284,2023-06-13 19:36:26.063392083,530600
20230613-00000018,20230526-00000521,20230614-00000285,2023-06-14 00:06:08.516240205,241500
20230614-00000001,20230409-00000358,20230614-00000286,2023-06-14 07:14:47.301065309,814800
20230615-00000004,20230312-00000251,20230615-00000287,2023-06-15 09:53:56.527650478,483200
20230615-00000016,20230306-00000237,20230615-00000288,2023-06-15 23:31:02.125830195,149200
20230616-00000001,20230101-00000004,20230616-00000289,2023-06-16 06:57:30.077543939,1010000
20230616-00000008,20230219-00000189,20230616-00000290,2023-06-16 11:24:40.603671667,360400
20230616-00000013,20230616-00000584,20230616-00000291,2023-06-16 19:09:24.743532532,790000
20230617-00000001,20230102-00000051,20230617-00000292,2023-06-17 06:22:55.465954014,136100
20230617-00000015,20230214-00000172,20230617-00000293,2023-06-17 16:21:56.774109501,71300
20230617-00000016,20230222-00000200,20230617-00000294,2023-06-17 15:56:06.354496598,531100
20230617-00000023,20230101-00000034,20230617-00000295,2023-06-17 21:49:54.214933867,150300
20230617-00000033,20230508-00000460,20230617-00000296,2023-06-17 22:17:04.353352380,656500
20230618-00000015,20230411-00000367,20230618-00000297,2023-06-18 14:05:52.951256135,319800
20230618-00000018,20230222-00000200,20230618-00000298,2023-06-18 15:13:26.412989421,492200
20230618-00000020,20230303-00000229,20230618-00000299,2023-06-18 16:09:43.638342404,310300
20230618-00000023,20230306-00000238,20230618-00000300,2023-06-18 17:19:43.056395785,108800
20230618-00000025,20230330-00000320,20230618-00000301,2023-06-18 17:49:38.261750595,695000
20230619-00000005,20230101-00000019,20230619-00000302,2023-06-19 14:05:57.215683342,570100
20230620-00000003,20230101-00000004,20230620-00000303,2023-06-20 06:48:32.854488828,1592600
20230620-00000005,20230414-00000381,20230620-00000304,2023-06-20 08:26:33.253192105,232700
20230622-00000011,20230218-00000181,20230622-00000305,2023-06-22 18:57:14.383314919,251300
20230622-00000013,20230429-00000437,20230622-00000306,2023-06-22 22:45:53.410181900,121500
20230623-00000004,20230201-00000134,20230623-00000307,2023-06-23 08:59:28.035033793,285200
20230623-00000008,20230614-00000574,20230623-00000308,2023-06-23 16:17:43.015109757,252600
20230623-00000013,20230605-00000553,20230623-00000309,2023-06-23 19:10:21.923333163,539100
20230624-00000008,20230508-00000460,20230624-00000310,2023-06-24 11:21:13.995506348,458100
20230625-00000001,20230501-00000439,20230625-00000311,2023-06-25 01:32:15.431617681,317600
20230625-00000002,20230101-00000039,20230625-00000312,2023-06-25 03:59:39.302430624,1502100
20230625-00000016,20230314-00000262,20230625-00000313,2023-06-25 12:58:55.489080871,305700
20230625-00000018,20230513-00000482,20230625-00000314,2023-06-25 14:07:50.995981899,713200
20230625-00000034,20230527-00000527,20230625-00000315,2023-06-25 19:07:00.586296247,723500
20230626-00000005,20230203-00000139,20230626-00000316,2023-06-26 08:47:16.118767162,237800
