tier,category,subcategory,product,quantity,unit_price,total_price,trx_id,date
premium,fruits,berries,blueberries,1,5700,5700,6,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16600,16600,6,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17200,17200,6,2026-01-12
premium,beverages,soda,cola_500mL,1,19800,19800,7,2026-01-12
premium,beverages,soda,cola_500mL,1,20600,20600,7,2026-01-12
premium,beverages,water,mineral_water_600mL,3,4400,13200,7,2026-01-12
premium,fruits,berries,strawberries,1,4800,4800,7,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3800,3800,7,2026-01-12
premium,fruits,berries,strawberries,1,4600,4600,7,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4000,4000,8,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18600,18600,8,2026-01-12
premium,beverages,water,mineral_water_600mL,2,4400,8800,8,2026-01-12
premium,fruits,berries,blueberries,3,5500,16500,8,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4100,4100,8,2026-01-12
premium,fruits,berries,blueberries,1,5900,5900,8,2026-01-12
premium,beverages,soda,cola_500mL,1,22800,22800,8,2026-01-12
premium,fruits,berries,blueberries,1,5600,5600,9,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3900,3900,9,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4500,4500,9,2026-01-12
premium,beverages,water,mineral_water_600mL,3,4200,12600,9,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17200,17200,9,2026-01-12
premium,vegetables,leafy_greens,kale,2,4900,9800,9,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16000,16000,9,2026-01-12
premium,beverages,soda,cola_500mL,4,21200,84800,10,2026-01-12
premium,fruits,berries,blueberries,1,5400,5400,10,2026-01-12
premium,fruits,berries,blueberries,2,5300,10600,10,2026-01-12
premium,vegetables,leafy_greens,kale,1,5200,5200,10,2026-01-12
premium,fruits,berries,blueberries,4,5600,22400,10,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17500,17500,11,2026-01-12
premium,beverages,soda,cola_500mL,3,20700,62100,11,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4500,4500,11,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16100,16100,11,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16100,16100,11,2026-01-12
premium,beverages,water,mineral_water_600mL,2,3800,7600,11,2026-01-12
premium,fruits,berries,blueberries,1,5200,5200,11,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4000,4000,11,2026-01-12
premium,beverages,soda,cola_500mL,2,20100,40200,11,2026-01-12
premium,beverages,soda,cola_500mL,1,18900,18900,11,2026-01-12
premium,fruits,berries,blueberries,4,6300,25200,12,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16900,16900,12,2026-01-12
premium,fruits,berries,blueberries,4,5900,23600,12,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3700,3700,12,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4100,4100,12,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3800,3800,13,2026-01-12
premium,fruits,berries,strawberries,1,4600,4600,13,2026-01-12
premium,fruits,berries,strawberries,3,5000,15000,13,2026-01-12
premium,snacks,chips,potato_chips_150g,2,18500,37000,13,2026-01-12
premium,vegetables,leafy_greens,kale,1,5400,5400,13,2026-01-12
premium,fruits,berries,strawberries,1,4600,4600,13,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17300,17300,13,2026-01-12
premium,vegetables,leafy_greens,kale,3,5000,15000,13,2026-01-12
premium,snacks,chips,potato_chips_150g,1,15700,15700,13,2026-01-12
premium,vegetables,leafy_greens,spinach,5,4500,22500,13,2026-01-12
premium,vegetables,leafy_greens,kale,1,4800,4800,14,2026-01-12
premium,beverages,water,mineral_water_600mL,2,4600,9200,14,2026-01-12
premium,fruits,berries,blueberries,1,5900,5900,14,2026-01-12
premium,vegetables,leafy_greens,kale,1,4000,4000,14,2026-01-12
premium,beverages,water,mineral_water_600mL,5,4100,20500,15,2026-01-12
premium,beverages,water,mineral_water_600mL,2,4000,8000,15,2026-01-12
premium,fruits,berries,strawberries,1,4300,4300,15,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16400,16400,15,2026-01-12
premium,fruits,berries,strawberries,2,4200,8400,15,2026-01-12
premium,beverages,soda,cola_500mL,1,19700,19700,15,2026-01-12
premium,snacks,chips,potato_chips_150g,2,14800,29600,15,2026-01-12
premium,vegetables,leafy_greens,kale,2,5500,11000,15,2026-01-12
premium,fruits,berries,strawberries,1,4800,4800,15,2026-01-12
premium,beverages,soda,cola_500mL,3,20500,61500,16,2026-01-12
premium,beverages,soda,cola_500mL,1,20400,20400,16,2026-01-12
premium,fruits,berries,strawberries,1,5100,5100,16,2026-01-12
premium,fruits,berries,blueberries,1,5500,5500,16,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3900,3900,16,2026-01-12
premium,beverages,soda,cola_500mL,1,16800,16800,16,2026-01-12
premium,vegetables,leafy_greens,spinach,2,4500,9000,16,2026-01-12
premium,snacks,chips,potato_chips_150g,2,16800,33600,16,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4600,4600,17,2026-01-12
premium,beverages,soda,cola_500mL,3,20400,61200,17,2026-01-12
premium,snacks,chips,potato_chips_150g,1,15100,15100,17,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16400,16400,17,2026-01-12
premium,snacks,chips,potato_chips_150g,1,14900,14900,17,2026-01-12
premium,vegetables,leafy_greens,kale,2,4400,8800,18,2026-01-12
premium,snacks,chips,potato_chips_150g,2,16300,32600,18,2026-01-12
premium,beverages,soda,cola_500mL,3,20600,61800,18,2026-01-12
premium,snacks,chips,potato_chips_150g,5,15900,79500,18,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4000,4000,18,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18600,18600,18,2026-01-12
premium,vegetables,leafy_greens,kale,2,5000,10000,19,2026-01-12
premium,fruits,berries,strawberries,1,5300,5300,19,2026-01-12
premium,snacks,chips,potato_chips_150g,1,19100,19100,19,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18300,18300,19,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3700,3700,19,2026-01-12
premium,fruits,berries,strawberries,1,4900,4900,19,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18700,18700,20,2026-01-12
premium,vegetables,leafy_greens,spinach,4,4000,16000,20,2026-01-12
premium,vegetables,leafy_greens,kale,1,5100,5100,20,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3800,3800,20,2026-01-12
premium,snacks,chips,potato_chips_150g,4,16800,67200,20,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3900,3900,20,2026-01-12
premium,vegetables,leafy_greens,spinach,2,4700,9400,20,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3900,3900,21,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3800,3800,21,2026-01-12
premium,fruits,berries,strawberries,2,4500,9000,21,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3700,3700,21,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18000,18000,21,2026-01-12
premium,fruits,berries,strawberries,1,4600,4600,21,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3600,3600,21,2026-01-12
premium,vegetables,leafy_greens,kale,1,5400,5400,21,2026-01-12
premium,beverages,soda,cola_500mL,4,19300,77200,21,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4000,4000,21,2026-01-12
premium,snacks,chips,potato_chips_150g,1,14800,14800,22,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16300,16300,22,2026-01-12
premium,vegetables,leafy_greens,spinach,2,3900,7800,22,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17200,17200,22,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4000,4000,22,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17300,17300,23,2026-01-12
premium,beverages,soda,cola_500mL,1,18600,18600,23,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3300,3300,23,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18900,18900,23,2026-01-12
premium,fruits,berries,blueberries,1,5100,5100,23,2026-01-12
premium,beverages,soda,cola_500mL,1,22000,22000,23,2026-01-12
premium,snacks,chips,potato_chips_150g,1,15700,15700,23,2026-01-12
premium,fruits,berries,strawberries,2,5200,10400,23,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17000,17000,23,2026-01-12
premium,fruits,berries,blueberries,1,6200,6200,24,2026-01-12
premium,fruits,berries,strawberries,2,5500,11000,24,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16200,16200,24,2026-01-12
premium,fruits,berries,blueberries,3,6000,18000,24,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18200,18200,24,2026-01-12
premium,fruits,berries,strawberries,1,5500,5500,24,2026-01-12
premium,beverages,water,mineral_water_600mL,2,3600,7200,24,2026-01-12
premium,fruits,berries,blueberries,2,5400,10800,24,2026-01-12
premium,beverages,soda,cola_500mL,1,18800,18800,24,2026-01-12
premium,beverages,soda,cola_500mL,1,24100,24100,24,2026-01-12
premium,beverages,water,mineral_water_600mL,3,4200,12600,25,2026-01-12
premium,beverages,soda,cola_500mL,1,21900,21900,25,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17000,17000,25,2026-01-12
premium,fruits,berries,strawberries,1,5200,5200,25,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3900,3900,26,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18400,18400,26,2026-01-12
premium,fruits,berries,blueberries,1,5700,5700,26,2026-01-12
premium,fruits,berries,strawberries,2,5400,10800,26,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16100,16100,26,2026-01-12
premium,beverages,soda,cola_500mL,1,20900,20900,26,2026-01-12
premium,fruits,berries,strawberries,1,4400,4400,26,2026-01-12
premium,fruits,berries,blueberries,1,5800,5800,26,2026-01-12
premium,vegetables,leafy_greens,kale,1,6100,6100,27,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17900,17900,27,2026-01-12
premium,snacks,chips,potato_chips_150g,1,15600,15600,27,2026-01-12
premium,vegetables,leafy_greens,kale,1,5300,5300,27,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3300,3300,28,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16000,16000,28,2026-01-12
premium,vegetables,leafy_greens,spinach,2,4300,8600,28,2026-01-12
premium,snacks,chips,potato_chips_150g,1,14900,14900,28,2026-01-12
premium,fruits,berries,blueberries,1,5800,5800,28,2026-01-12
premium,vegetables,leafy_greens,kale,1,3800,3800,28,2026-01-12
premium,fruits,berries,strawberries,1,5100,5100,29,2026-01-12
premium,fruits,berries,blueberries,1,5900,5900,29,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3800,3800,29,2026-01-12
premium,fruits,berries,strawberries,1,4100,4100,29,2026-01-12
premium,fruits,berries,blueberries,1,5300,5300,29,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3900,3900,30,2026-01-12
premium,fruits,berries,blueberries,1,5500,5500,30,2026-01-12
premium,fruits,berries,blueberries,1,5600,5600,30,2026-01-12
premium,fruits,berries,strawberries,3,4700,14100,30,2026-01-12
premium,beverages,soda,cola_500mL,1,21700,21700,31,2026-01-12
premium,beverages,water,mineral_water_600mL,2,3800,7600,31,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3700,3700,31,2026-01-12
premium,snacks,chips,potato_chips_150g,1,15700,15700,31,2026-01-12
premium,beverages,water,mineral_water_600mL,3,3900,11700,31,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3900,3900,31,2026-01-12
premium,beverages,soda,cola_500mL,1,16800,16800,31,2026-01-12
premium,snacks,chips,potato_chips_150g,2,16900,33800,31,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16400,16400,32,2026-01-12
premium,beverages,soda,cola_500mL,3,18100,54300,32,2026-01-12
premium,beverages,water,mineral_water_600mL,2,4100,8200,32,2026-01-12
premium,snacks,chips,potato_chips_150g,1,15500,15500,32,2026-01-12
premium,snacks,chips,potato_chips_150g,1,14700,14700,32,2026-01-12
premium,snacks,chips,potato_chips_150g,2,20700,41400,32,2026-01-12
premium,vegetables,leafy_greens,spinach,1,4100,4100,32,2026-01-12
premium,fruits,berries,blueberries,1,5000,5000,32,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3700,3700,32,2026-01-12
premium,vegetables,leafy_greens,kale,1,6300,6300,33,2026-01-12
premium,vegetables,leafy_greens,kale,2,5600,11200,33,2026-01-12
premium,fruits,berries,blueberries,1,5800,5800,33,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17700,17700,33,2026-01-12
premium,vegetables,leafy_greens,kale,2,4600,9200,33,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16300,16300,33,2026-01-12
premium,fruits,berries,strawberries,2,5100,10200,33,2026-01-12
premium,snacks,chips,potato_chips_150g,2,16800,33600,33,2026-01-12
premium,vegetables,leafy_greens,spinach,1,4200,4200,33,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18500,18500,33,2026-01-12
premium,vegetables,leafy_greens,kale,1,5000,5000,34,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3400,3400,34,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16400,16400,34,2026-01-12
premium,fruits,berries,blueberries,1,4900,4900,34,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4000,4000,34,2026-01-12
premium,snacks,chips,potato_chips_150g,3,17500,52500,34,2026-01-12
premium,vegetables,leafy_greens,spinach,2,3400,6800,34,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17500,17500,34,2026-01-12
premium,beverages,soda,cola_500mL,1,17800,17800,34,2026-01-12
premium,fruits,berries,blueberries,2,5900,11800,35,2026-01-12
premium,vegetables,leafy_greens,kale,1,4500,4500,35,2026-01-12
premium,fruits,berries,strawberries,1,4600,4600,35,2026-01-12
premium,fruits,berries,strawberries,2,5300,10600,35,2026-01-12
premium,fruits,berries,blueberries,2,5200,10400,36,2026-01-12
premium,beverages,water,mineral_water_600mL,2,4000,8000,36,2026-01-12
premium,snacks,chips,potato_chips_150g,1,18200,18200,36,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16200,16200,36,2026-01-12
premium,fruits,berries,strawberries,1,4800,4800,36,2026-01-12
premium,snacks,chips,potato_chips_150g,3,15600,46800,36,2026-01-12
premium,vegetables,leafy_greens,spinach,1,4400,4400,36,2026-01-12
premium,vegetables,leafy_greens,kale,4,4600,18400,37,2026-01-12
premium,snacks,chips,potato_chips_150g,1,17900,17900,37,2026-01-12
premium,snacks,chips,potato_chips_150g,2,14900,29800,37,2026-01-12
premium,fruits,berries,blueberries,1,5900,5900,37,2026-01-12
premium,fruits,berries,blueberries,1,5200,5200,37,2026-01-12
premium,snacks,chips,potato_chips_150g,1,15300,15300,38,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16100,16100,38,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16900,16900,38,2026-01-12
premium,snacks,chips,potato_chips_150g,1,16400,16400,38,2026-01-12
premium,beverages,soda,cola_500mL,1,23300,23300,38,2026-01-12
premium,beverages,water,mineral_water_600mL,1,3700,3700,38,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4500,4500,38,2026-01-12
premium,fruits,berries,strawberries,1,4900,4900,38,2026-01-12
premium,snacks,chips,potato_chips_150g,1,19100,19100,38,2026-01-12
premium,vegetables,leafy_greens,spinach,1,3900,3900,38,2026-01-12
premium,fruits,berries,strawberries,1,4200,4200,39,2026-01-12
premium,beverages,soda,cola_500mL,1,20600,20600,39,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4200,4200,39,2026-01-12
premium,fruits,berries,blueberries,1,5300,5300,39,2026-01-12
premium,fruits,berries,strawberries,1,4900,4900,39,2026-01-12
premium,vegetables,leafy_greens,kale,1,4400,4400,40,2026-01-12
premium,snacks,chips,potato_chips_150g,1,14400,14400,40,2026-01-12
premium,fruits,berries,strawberries,3,5300,15900,40,2026-01-12
premium,beverages,water,mineral_water_600mL,1,4100,4100,40,2026-01-12
premium,beverages,soda,cola_500mL,1,23900,23900,40,2026-01-12
premium,fruits,berries,strawberries,3,5200,15600,40,2026-01-12
premium,snacks,chips,potato_chips_150g,2,19100,38200,40,2026-01-12
premium,vegetables,leafy_greens,kale,4,4800,19200,40,2026-01-12
premium,beverages,soda,cola_500mL,1,23200,23200,40,2026-01-12
premium,fruits,berries,blueberries,1,6100,6100,40,2026-01-12
standard,fruits,berries,blueberries,1,5600,5600,1,2026-01-13
standard,snacks,chips,potato_chips_150g,2,17400,34800,1,2026-01-13
standard,vegetables,leafy_greens,spinach,2,3900,7800,1,2026-01-13
standard,fruits,berries,blueberries,3,5600,16800,1,2026-01-13
budget,vegetables,leafy_greens,spinach,3,4000,12000,2,2026-01-13
budget,fruits,berries,strawberries,1,5500,5500,2,2026-01-13
budget,fruits,berries,blueberries,3,5400,16200,2,2026-01-13
standard,beverages,soda,cola_500mL,1,18200,18200,3,2026-01-13
standard,snacks,chips,potato_chips_150g,2,16800,33600,3,2026-01-13
standard,beverages,soda,cola_500mL,1,20300,20300,4,2026-01-13
standard,fruits,berries,strawberries,3,5000,15000,4,2026-01-13
standard,vegetables,leafy_greens,spinach,2,3100,6200,4,2026-01-13
standard,snacks,chips,potato_chips_150g,1,17300,17300,4,2026-01-13
standard,beverages,soda,cola_500mL,1,21600,21600,4,2026-01-13
premium,fruits,berries,strawberries,1,5400,5400,5,2026-01-13
premium,beverages,soda,cola_500mL,2,19600,39200,5,2026-01-13
premium,beverages,water,mineral_water_600mL,1,3900,3900,5,2026-01-13
premium,fruits,berries,blueberries,1,5100,5100,5,2026-01-13
premium,snacks,chips,potato_chips_150g,1,16600,16600,5,2026-01-13
premium,fruits,berries,strawberries,1,4700,4700,5,2026-01-13
premium,beverages,water,mineral_water_600mL,1,3800,3800,5,2026-01-13
premium,fruits,berries,blueberries,1,4700,4700,5,2026-01-13
premium,snacks,chips,potato_chips_150g,1,15400,15400,5,2026-01-13
premium,snacks,chips,potato_chips_150g,1,16400,16400,5,2026-01-13
budget,vegetables,leafy_greens,spinach,1,3500,3500,6,2026-01-13
budget,fruits,berries,strawberries,4,5800,23200,6,2026-01-13
budget,vegetables,leafy_greens,spinach,1,4100,4100,6,2026-01-13
standard,snacks,chips,potato_chips_150g,1,17100,17100,7,2026-01-13
standard,beverages,soda,cola_500mL,1,20000,20000,7,2026-01-13
standard,beverages,soda,cola_500mL,2,22300,44600,7,2026-01-13
standard,fruits,berries,blueberries,3,5000,15000,7,2026-01-13
standard,beverages,water,mineral_water_600mL,1,4100,4100,7,2026-01-13
standard,fruits,berries,strawberries,1,4900,4900,8,2026-01-13
standard,beverages,soda,cola_500mL,4,17200,68800,8,2026-01-13
standard,beverages,water,mineral_water_600mL,1,4300,4300,8,2026-01-13
standard,beverages,soda,cola_500mL,4,21600,86400,8,2026-01-13
standard,fruits,berries,strawberries,1,5300,5300,8,2026-01-13
standard,fruits,berries,strawberries,1,4700,4700,9,2026-01-13
standard,beverages,water,mineral_water_600mL,3,4000,12000,9,2026-01-13
standard,fruits,berries,blueberries,2,5500,11000,10,2026-01-13
standard,snacks,chips,potato_chips_150g,1,14400,14400,10,2026-01-13
standard,vegetables,leafy_greens,spinach,1,3700,3700,10,2026-01-13
premium,snacks,chips,potato_chips_150g,1,16600,16600,11,2026-01-13
premium,beverages,soda,cola_500mL,2,19300,38600,11,2026-01-13
premium,fruits,berries,strawberries,1,5000,5000,11,2026-01-13
premium,vegetables,leafy_greens,kale,1,5200,5200,11,2026-01-13
premium,fruits,berries,strawberries,1,4700,4700,11,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4200,4200,11,2026-01-13
premium,fruits,berries,strawberries,1,5300,5300,11,2026-01-13
premium,vegetables,leafy_greens,kale,2,5400,10800,11,2026-01-13
premium,beverages,soda,cola_500mL,2,20400,40800,11,2026-01-13
premium,beverages,water,mineral_water_600mL,1,3500,3500,11,2026-01-13
premium,snacks,chips,potato_chips_150g,2,16300,32600,12,2026-01-13
premium,snacks,chips,potato_chips_150g,1,19200,19200,12,2026-01-13
premium,vegetables,leafy_greens,kale,1,4800,4800,12,2026-01-13
premium,beverages,soda,cola_500mL,1,18900,18900,12,2026-01-13
budget,fruits,berries,blueberries,1,5100,5100,13,2026-01-13
standard,fruits,berries,strawberries,1,4600,4600,14,2026-01-13
standard,beverages,soda,cola_500mL,2,19500,39000,14,2026-01-13
standard,snacks,chips,potato_chips_150g,2,14900,29800,14,2026-01-13
standard,snacks,chips,potato_chips_150g,3,16400,49200,14,2026-01-13
premium,fruits,berries,strawberries,1,5300,5300,15,2026-01-13
premium,fruits,berries,blueberries,1,6100,6100,15,2026-01-13
premium,snacks,chips,potato_chips_150g,3,19300,57900,15,2026-01-13
premium,fruits,berries,strawberries,1,4700,4700,15,2026-01-13
premium,fruits,berries,blueberries,1,6000,6000,15,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4200,4200,15,2026-01-13
premium,vegetables,leafy_greens,kale,1,5000,5000,15,2026-01-13
standard,snacks,chips,potato_chips_150g,1,16900,16900,16,2026-01-13
standard,snacks,chips,potato_chips_150g,1,16800,16800,16,2026-01-13
standard,fruits,berries,blueberries,1,6300,6300,16,2026-01-13
standard,fruits,berries,strawberries,2,4800,9600,16,2026-01-13
budget,vegetables,leafy_greens,spinach,4,3900,15600,17,2026-01-13
budget,snacks,chips,potato_chips_150g,1,15500,15500,17,2026-01-13
budget,beverages,water,mineral_water_600mL,1,4000,4000,17,2026-01-13
premium,snacks,chips,potato_chips_150g,1,18900,18900,18,2026-01-13
premium,beverages,soda,cola_500mL,1,18700,18700,18,2026-01-13
premium,snacks,chips,potato_chips_150g,1,19400,19400,18,2026-01-13
premium,beverages,soda,cola_500mL,2,22800,45600,18,2026-01-13
premium,fruits,berries,blueberries,1,5200,5200,18,2026-01-13
premium,snacks,chips,potato_chips_150g,1,16100,16100,18,2026-01-13
standard,snacks,chips,potato_chips_150g,1,17000,17000,19,2026-01-13
standard,fruits,berries,blueberries,1,5600,5600,19,2026-01-13
standard,vegetables,leafy_greens,kale,1,4800,4800,19,2026-01-13
budget,beverages,soda,cola_500mL,3,23100,69300,20,2026-01-13
budget,vegetables,leafy_greens,kale,2,5900,11800,20,2026-01-13
budget,beverages,water,mineral_water_600mL,1,3400,3400,20,2026-01-13
budget,beverages,soda,cola_500mL,2,19000,38000,20,2026-01-13
premium,fruits,berries,blueberries,1,5700,5700,21,2026-01-13
premium,snacks,chips,potato_chips_150g,1,17400,17400,21,2026-01-13
premium,snacks,chips,potato_chips_150g,2,18900,37800,21,2026-01-13
premium,vegetables,leafy_greens,kale,1,4700,4700,21,2026-01-13
premium,vegetables,leafy_greens,kale,1,5200,5200,21,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4300,4300,21,2026-01-13
premium,beverages,water,mineral_water_600mL,1,4500,4500,21,2026-01-13
premium,beverages,soda,cola_500mL,1,20700,20700,21,2026-01-13
premium,fruits,berries,blueberries,2,6600,13200,21,2026-01-13
budget,vegetables,leafy_greens,spinach,1,4200,4200,22,2026-01-13
budget,vegetables,leafy_greens,spinach,1,4200,4200,22,2026-01-13
budget,vegetables,leafy_greens,spinach,1,4400,4400,22,2026-01-13
premium,vegetables,leafy_greens,kale,1,5400,5400,23,2026-01-13
premium,fruits,berries,blueberries,1,5700,5700,23,2026-01-13
premium,fruits,berries,strawberries,2,4600,9200,23,2026-01-13
premium,vegetables,leafy_greens,spinach,2,4000,8000,23,2026-01-13
premium,beverages,soda,cola_500mL,1,21100,21100,23,2026-01-13
premium,snacks,chips,potato_chips_150g,2,15900,31800,23,2026-01-13
budget,vegetables,leafy_greens,kale,1,5600,5600,24,2026-01-13
budget,vegetables,leafy_greens,kale,1,4200,4200,24,2026-01-13
budget,snacks,chips,potato_chips_150g,2,17100,34200,24,2026-01-13
budget,vegetables,leafy_greens,spinach,1,3800,3800,24,2026-01-13
standard,fruits,berries,blueberries,3,6000,18000,25,2026-01-13
standard,vegetables,leafy_greens,kale,3,4900,14700,25,2026-01-13
standard,beverages,soda,cola_500mL,1,19400,19400,25,2026-01-13
standard,beverages,soda,cola_500mL,2,23700,47400,25,2026-01-13
premium,beverages,soda,cola_500mL,2,20400,40800,26,2026-01-13
premium,fruits,berries,strawberries,1,5100,5100,26,2026-01-13
premium,fruits,berries,strawberries,1,5400,5400,26,2026-01-13
premium,beverages,soda,cola_500mL,2,20400,40800,26,2026-01-13
premium,vegetables,leafy_greens,kale,1,5400,5400,26,2026-01-13
premium,beverages,water,mineral_water_600mL,1,3600,3600,27,2026-01-13
premium,snacks,chips,potato_chips_150g,2,19100,38200,27,2026-01-13
premium,snacks,chips,potato_chips_150g,1,19100,19100,27,2026-01-13
premium,vegetables,leafy_greens,spinach,3,3400,10200,27,2026-01-13
