tier,user_id
budget_tier,20260211000169
random_tier,20260211000170
premium_tier,20260211000171
budget_tier,20260212000172
random_tier,20260212000173
premium_tier,20260212000174
budget_tier,20260213000175
random_tier,20260213000176
premium_tier,20260213000177
budget_tier,20260214000178
random_tier,20260214000179
premium_tier,20260214000180
budget_tier,20260215000181
random_tier,20260215000182
premium_tier,20260215000183
budget_tier,20260216000184
random_tier,20260216000185
premium_tier,20260216000186
budget_tier,20260217000187
random_tier,20260217000188
premium_tier,20260217000189
budget_tier,20260218000190
random_tier,20260218000191
premium_tier,20260218000192
budget_tier,20260219000193
random_tier,20260219000194
premium_tier,20260219000195
budget_tier,20260220000196
random_tier,20260220000197
premium_tier,20260220000198
budget_tier,20260221000199
random_tier,20260221000200
premium_tier,20260221000201
budget_tier,20260222000202
random_tier,20260222000203
premium_tier,20260222000204
budget_tier,20260223000205
random_tier,20260223000206
premium_tier,20260223000207
budget_tier,20260224000208
random_tier,20260224000209
premium_tier,20260224000210
budget_tier,20260225000211
random_tier,20260225000212
premium_tier,20260225000213
budget_tier,20260226000214
random_tier,20260226000215
premium_tier,20260226000216
budget_tier,20260227000217
random_tier,20260227000218
premium_tier,20260227000219
budget_tier,20260228000220
random_tier,20260228000221
premium_tier,20260228000222
budget_tier,20260301000223
random_tier,20260301000224
premium_tier,20260301000225
budget_tier,20260302000226
random_tier,20260302000227
premium_tier,20260302000228
budget_tier,20260303000229
random_tier,20260303000230
premium_tier,20260303000231
budget_tier,20260304000232
random_tier,20260304000233
premium_tier,20260304000234
budget_tier,20260305000235
random_tier,20260305000236
premium_tier,20260305000237
budget_tier,20260306000238
random_tier,20260306000239
premium_tier,20260306000240
budget_tier,20260307000241
random_tier,20260307000242
premium_tier,20260307000243
budget_tier,20260308000244
random_tier,20260308000245
premium_tier,20260308000246
budget_tier,20260309000247
random_tier,20260309000248
premium_tier,20260309000249
budget_tier,20260310000250
random_tier,20260310000251
premium_tier,20260310000252
budget_tier,20260311000253
random_tier,20260311000254
premium_tier,20260311000255
budget_tier,20260312000256
random_tier,20260312000257
premium_tier,20260312000258
budget_tier,20260313000259
random_tier,20260313000260
premium_tier,20260313000261
budget_tier,20260314000262
random_tier,20260314000263
premium_tier,20260314000264
budget_tier,20260315000265
random_tier,20260315000266
premium_tier,20260315000267
budget_tier,20260316000268
random_tier,20260316000269
premium_tier,20260316000270
budget_tier,20260317000271
random_tier,20260317000272
premium_tier,20260317000273
budget_tier,20260318000274
random_tier,20260318000275
premium_tier,20260318000276
budget_tier,20260319000277
random_tier,20260319000278
premium_tier,20260319000279
budget_tier,20260320000280
random_tier,20260320000281
premium_tier,20260320000282
budget_tier,20260321000283
random_tier,20260321000284
premium_tier,20260321000285
budget_tier,20260322000286
random_tier,20260322000287
premium_tier,20260322000288
budget_tier,20260323000289
random_tier,20260323000290
premium_tier,20260323000291
budget_tier,20260324000292
random_tier,20260324000293
premium_tier,20260324000294
budget_tier,20260325000295
random_tier,20260325000296
premium_tier,20260325000297
budget_tier,20260326000298
random_tier,20260326000299
premium_tier,20260326000300
budget_tier,20260327000301
random_tier,20260327000302
premium_tier,20260327000303
budget_tier,20260328000304
random_tier,20260328000305
premium_tier,20260328000306
budget_tier,20260329000307
random_tier,20260329000308
premium_tier,20260329000309
budget_tier,20260330000310
random_tier,20260330000311
premium_tier,20260330000312
budget_tier,20260331000313
random_tier,20260331000314
premium_tier,20260331000315
