session_id,trx_id,date,tier
20220204-00000007,20220204-00000003,2022-02-04 13:40:02.860899351,premium_tier
20220204-00000012,20220204-00000004,2022-02-04 20:47:50.524585169,random_tier
20220205-00000002,20220205-00000001,2022-02-05 13:01:34.009177760,random_tier
20220206-00000001,20220206-00000001,2022-02-06 07:30:09.814730248,random_tier
20220206-00000006,20220206-00000002,2022-02-06 16:24:03.235514294,budget_tier
20220206-00000009,20220206-00000003,2022-02-06 19:37:10.904078449,random_tier
20220206-00000011,20220206-00000004,2022-02-06 21:04:07.993226808,random_tier
20220206-00000012,20220206-00000005,2022-02-06 22:20:47.594709054,budget_tier
20220207-00000003,20220207-00000001,2022-02-07 11:30:34.954892323,budget_tier
20220207-00000004,20220207-00000002,2022-02-07 14:18:54.511626489,budget_tier
20220208-00000004,20220208-00000001,2022-02-08 14:44:55.537110272,random_tier
20220208-00000006,20220208-00000002,2022-02-08 23:09:59.256971762,budget_tier
20220209-00000001,20220209-00000001,2022-02-09 11:53:34.788750742,budget_tier
20220209-00000002,20220209-00000002,2022-02-09 11:58:37.824705619,budget_tier
20220209-00000006,20220209-00000003,2022-02-09 18:26:48.432884787,premium_tier
20220210-00000005,20220210-00000001,2022-02-10 15:14:54.115974192,random_tier
20220210-00000010,20220210-00000002,2022-02-10 23:50:54.065784916,premium_tier
20220210-00000011,20220211-00000001,2022-02-11 00:20:06.923781315,random_tier
20220211-00000005,20220211-00000001,2022-02-11 11:30:21.512913112,budget_tier
20220211-00000008,20220211-00000002,2022-02-11 17:23:32.865512406,budget_tier
20220211-00000009,20220211-00000003,2022-02-11 18:51:00.670938396,random_tier
20220212-00000006,20220212-00000001,2022-02-12 13:41:00.613684601,budget_tier
20220212-00000008,20220212-00000002,2022-02-12 15:39:32.149834742,budget_tier
20220213-00000001,20220213-00000001,2022-02-13 09:13:27.462927847,budget_tier
20220213-00000006,20220213-00000002,2022-02-13 12:13:57.841157913,budget_tier
20220213-00000009,20220213-00000003,2022-02-13 14:09:59.490777151,budget_tier
20220216-00000001,20220216-00000001,2022-02-16 09:11:06.866355232,random_tier
20220216-00000006,20220216-00000002,2022-02-16 16:48:01.661631847,budget_tier
20220218-00000006,20220218-00000001,2022-02-18 14:22:35.289031009,budget_tier
20220218-00000007,20220218-00000002,2022-02-18 14:36:56.143656222,random_tier
20220218-00000009,20220218-00000003,2022-02-18 15:32:13.145368183,premium_tier
20220219-00000003,20220219-00000001,2022-02-19 14:15:05.540092338,budget_tier
20220219-00000009,20220219-00000002,2022-02-19 18:34:13.069600478,premium_tier
20220219-00000011,20220219-00000003,2022-02-19 22:21:00.394406020,budget_tier
20220220-00000002,20220220-00000001,2022-02-20 09:33:58.148132212,budget_tier
20220220-00000003,20220220-00000002,2022-02-20 10:06:46.212121704,budget_tier
20220220-00000010,20220220-00000003,2022-02-20 20:36:53.570148682,random_tier
20220220-00000011,20220220-00000004,2022-02-20 23:44:19.965881322,budget_tier
20220221-00000003,20220221-00000001,2022-02-21 15:00:48.152592944,premium_tier
20220221-00000005,20220221-00000002,2022-02-21 19:05:48.588608580,budget_tier
20220223-00000009,20220223-00000001,2022-02-23 21:30:25.559438470,budget_tier
20220224-00000003,20220224-00000001,2022-02-24 11:19:45.447425896,budget_tier
20220224-00000006,20220224-00000002,2022-02-24 21:06:13.256033328,budget_tier
20220224-00000007,20220224-00000003,2022-02-24 22:22:56.630554482,budget_tier
20220225-00000001,20220225-00000001,2022-02-25 08:47:35.763485877,premium_tier
20220225-00000002,20220225-00000002,2022-02-25 11:28:46.237040687,budget_tier
20220225-00000003,20220225-00000003,2022-02-25 16:13:24.040436826,budget_tier
20220225-00000006,20220225-00000004,2022-02-25 20:05:21.330433150,random_tier
20220226-00000001,20220226-00000001,2022-02-26 11:11:50.777810000,budget_tier
20220226-00000003,20220226-00000002,2022-02-26 11:36:32.667616951,budget_tier
20220226-00000010,20220226-00000003,2022-02-26 21:57:19.121746163,budget_tier
20220227-00000005,20220227-00000001,2022-02-27 14:57:20.451828743,budget_tier
20220228-00000003,20220228-00000001,2022-02-28 10:38:57.667335411,budget_tier
20220228-00000004,20220228-00000002,2022-02-28 14:14:17.379439587,random_tier
20220228-00000005,20220228-00000003,2022-02-28 18:21:27.737463559,random_tier
20220301-00000005,20220301-00000001,2022-03-01 18:41:33.931590109,random_tier
20220301-00000007,20220301-00000002,2022-03-01 20:36:21.363564021,budget_tier
20220302-00000001,20220302-00000001,2022-03-02 11:07:42.779352732,random_tier
20220302-00000002,20220302-00000002,2022-03-02 11:48:43.889763659,random_tier
20220302-00000003,20220302-00000003,2022-03-02 14:02:32.028545438,random_tier
20220303-00000004,20220303-00000001,2022-03-03 11:40:16.861899025,budget_tier
20220303-00000013,20220303-00000002,2022-03-03 22:39:36.142827907,random_tier
20220304-00000001,20220304-00000001,2022-03-04 09:19:02.432291814,random_tier
20220304-00000005,20220304-00000002,2022-03-04 12:16:42.357819495,budget_tier
20220304-00000007,20220304-00000003,2022-03-04 14:08:09.752483234,premium_tier
20220304-00000008,20220304-00000004,2022-03-04 15:20:17.610820246,random_tier
20220304-00000011,20220304-00000005,2022-03-04 18:10:55.261230704,budget_tier
20220304-00000014,20220304-00000006,2022-03-04 21:25:52.920970424,random_tier
20220304-00000015,20220304-00000007,2022-03-04 21:59:41.575589847,budget_tier
20220304-00000016,20220304-00000008,2022-03-04 22:13:38.679921302,budget_tier
20220305-00000001,20220305-00000001,2022-03-05 21:55:45.101168994,premium_tier
20220305-00000011,20220305-00000002,2022-03-05 23:18:04.922406221,random_tier
20220306-00000008,20220306-00000001,2022-03-06 16:21:47.661587438,random_tier
20220306-00000013,20220306-00000002,2022-03-06 19:43:29.741810220,random_tier
20220306-00000016,20220306-00000003,2022-03-06 22:08:51.464154180,random_tier
20220306-00000017,20220306-00000004,2022-03-06 22:08:09.732812304,budget_tier
20220306-00000018,20220306-00000005,2022-03-06 23:23:38.277365297,random_tier
20220307-00000005,20220307-00000001,2022-03-07 14:15:48.064013800,budget_tier
20220307-00000007,20220307-00000002,2022-03-07 17:00:01.831879506,random_tier
20220307-00000008,20220307-00000003,2022-03-07 16:30:49.636601126,budget_tier
20220307-00000009,20220307-00000004,2022-03-07 19:15:08.192268843,budget_tier
20220307-00000011,20220307-00000005,2022-03-07 22:27:58.820149065,premium_tier
20220308-00000006,20220308-00000001,2022-03-08 17:22:47.426335281,budget_tier
20220309-00000009,20220309-00000001,2022-03-09 16:22:18.414897707,budget_tier
20220309-00000012,20220310-00000001,2022-03-10 00:15:26.759460524,random_tier
20220310-00000002,20220310-00000001,2022-03-10 10:01:34.743791059,random_tier
20220310-00000010,20220310-00000002,2022-03-10 22:44:49.808625953,budget_tier
20220310-00000012,20220310-00000003,2022-03-10 18:26:59.455413874,budget_tier
20220312-00000002,20220312-00000001,2022-03-12 11:32:02.355114261,random_tier
20220312-00000005,20220312-00000002,2022-03-12 14:35:20.680531143,premium_tier
20220312-00000009,20220312-00000003,2022-03-12 19:00:29.828144885,budget_tier
20220313-00000003,20220313-00000001,2022-03-13 10:37:28.389713982,random_tier
20220313-00000004,20220313-00000002,2022-03-13 11:23:34.898679126,random_tier
20220313-00000005,20220313-00000003,2022-03-13 11:54:07.796956421,budget_tier
20220313-00000016,20220313-00000004,2022-03-13 20:49:15.980895764,random_tier
20220313-00000017,20220313-00000005,2022-03-13 21:17:36.236815501,premium_tier
20220313-00000020,20220314-00000001,2022-03-14 00:14:20.131941132,budget_tier
20220313-00000021,20220314-00000002,2022-03-14 00:09:31.521174724,budget_tier
20220314-00000006,20220314-00000001,2022-03-14 13:51:28.522341761,premium_tier
20220314-00000015,20220314-00000002,2022-03-14 20:00:17.678262268,random_tier
20220314-00000016,20220314-00000003,2022-03-14 22:22:59.155617867,random_tier
20220314-00000017,20220315-00000001,2022-03-15 00:47:05.574246282,budget_tier
20220315-00000002,20220315-00000001,2022-03-15 09:51:07.311260112,premium_tier
20220315-00000005,20220315-00000002,2022-03-15 12:00:39.960937666,budget_tier
20220315-00000007,20220315-00000003,2022-03-15 12:46:38.592078750,budget_tier
20220315-00000009,20220315-00000004,2022-03-15 16:07:05.470683929,random_tier
20220315-00000010,20220315-00000005,2022-03-15 16:50:30.675250951,budget_tier
20220315-00000012,20220315-00000006,2022-03-15 17:51:21.912308868,random_tier
20220316-00000003,20220316-00000001,2022-03-16 13:45:31.282967640,budget_tier
20220316-00000006,20220316-00000002,2022-03-16 14:25:43.179459660,budget_tier
20220316-00000007,20220316-00000003,2022-03-16 14:32:11.033793119,budget_tier
20220316-00000008,20220316-00000004,2022-03-16 15:21:45.781278406,random_tier
20220316-00000011,20220316-00000005,2022-03-16 18:24:21.987187693,budget_tier
20220316-00000013,20220316-00000006,2022-03-16 20:48:56.524789940,random_tier
20220316-00000014,20220316-00000007,2022-03-16 23:55:30.168966449,budget_tier
20220317-00000002,20220317-00000001,2022-03-17 12:18:03.288655776,budget_tier
20220317-00000007,20220317-00000002,2022-03-17 18:23:14.363171252,random_tier
20220317-00000009,20220317-00000003,2022-03-17 19:40:07.097451221,random_tier
20220318-00000002,20220318-00000001,2022-03-18 10:01:59.625818087,budget_tier
20220318-00000005,20220318-00000002,2022-03-18 11:13:03.613372276,random_tier
20220318-00000013,20220318-00000003,2022-03-18 20:40:57.771875141,budget_tier
20220318-00000016,20220318-00000004,2022-03-18 23:21:14.676250390,premium_tier
20220319-00000003,20220319-00000001,2022-03-19 09:52:48.841448156,premium_tier
20220319-00000004,20220319-00000002,2022-03-19 10:15:27.758771455,budget_tier
20220319-00000006,20220319-00000003,2022-03-19 11:02:23.028066486,budget_tier
20220319-00000013,20220319-00000004,2022-03-19 18:45:51.345243758,budget_tier
20220319-00000014,20220319-00000005,2022-03-19 17:50:00.545746223,premium_tier
20220319-00000019,20220320-00000001,2022-03-20 00:24:47.642708619,budget_tier
20220320-00000004,20220320-00000001,2022-03-20 10:42:23.765834411,random_tier
20220320-00000005,20220320-00000002,2022-03-20 10:13:14.211535855,premium_tier
20220320-00000009,20220320-00000003,2022-03-20 12:58:50.109733181,premium_tier
20220320-00000010,20220320-00000004,2022-03-20 13:25:20.977639399,random_tier
20220320-00000012,20220320-00000005,2022-03-20 16:43:00.318595995,random_tier
20220320-00000016,20220320-00000006,2022-03-20 20:30:37.617792253,random_tier
20220321-00000002,20220321-00000001,2022-03-21 10:13:15.865689320,budget_tier
20220321-00000010,20220321-00000002,2022-03-21 17:26:04.574898663,random_tier
20220321-00000013,20220321-00000003,2022-03-21 22:13:02.627141286,premium_tier
20220322-00000003,20220322-00000001,2022-03-22 11:48:53.072497748,budget_tier
20220322-00000007,20220322-00000002,2022-03-22 17:56:41.264535633,budget_tier
20220322-00000009,20220322-00000003,2022-03-22 22:10:23.809965541,random_tier
20220323-00000001,20220323-00000001,2022-03-23 07:05:26.161377992,premium_tier
20220323-00000006,20220323-00000002,2022-03-23 12:46:19.723165453,premium_tier
20220323-00000014,20220323-00000003,2022-03-23 20:28:30.850694731,random_tier
20220324-00000007,20220324-00000001,2022-03-24 20:11:13.631166888,budget_tier
20220325-00000001,20220325-00000001,2022-03-25 13:21:27.272178941,budget_tier
20220325-00000003,20220325-00000002,2022-03-25 14:31:19.188996556,random_tier
20220325-00000006,20220325-00000003,2022-03-25 18:50:06.590064278,random_tier
20220325-00000008,20220325-00000004,2022-03-25 20:32:09.644681690,random_tier
20220326-00000003,20220326-00000001,2022-03-26 10:21:47.118312057,random_tier
20220326-00000004,20220326-00000002,2022-03-26 10:42:59.356901400,random_tier
20220326-00000007,20220326-00000003,2022-03-26 12:20:50.154286765,random_tier
20220326-00000008,20220326-00000004,2022-03-26 13:29:30.825388162,budget_tier
20220326-00000010,20220326-00000005,2022-03-26 14:11:23.590187414,budget_tier
20220326-00000013,20220326-00000006,2022-03-26 16:36:02.187816614,premium_tier
20220326-00000014,20220326-00000007,2022-03-26 18:34:48.926324870,random_tier
20220326-00000015,20220326-00000008,2022-03-26 20:17:31.504076825,random_tier
20220326-00000016,20220326-00000009,2022-03-26 20:34:09.962360252,budget_tier
20220326-00000017,20220326-00000010,2022-03-26 21:40:17.717349961,budget_tier
20220326-00000018,20220326-00000011,2022-03-26 22:13:54.673450598,random_tier
20220327-00000002,20220327-00000001,2022-03-27 09:35:26.892029542,budget_tier
20220327-00000003,20220327-00000002,2022-03-27 12:03:16.240719543,random_tier
20220327-00000008,20220327-00000003,2022-03-27 16:20:38.031865698,random_tier
20220327-00000021,20220328-00000001,2022-03-28 00:16:01.681674892,budget_tier
20220328-00000003,20220328-00000001,2022-03-28 11:00:39.387836013,budget_tier
20220328-00000005,20220328-00000002,2022-03-28 13:03:33.566187748,budget_tier
20220328-00000014,20220328-00000003,2022-03-28 19:22:06.684443635,random_tier
20220329-00000002,20220329-00000001,2022-03-29 13:32:51.222271940,premium_tier
20220329-00000003,20220329-00000002,2022-03-29 11:45:04.559280755,random_tier
20220329-00000004,20220329-00000003,2022-03-29 10:36:54.954003675,random_tier
20220329-00000008,20220329-00000004,2022-03-29 16:03:07.462735204,budget_tier
20220329-00000009,20220329-00000005,2022-03-29 17:44:50.987842154,random_tier
20220329-00000012,20220329-00000006,2022-03-29 18:37:37.950809167,random_tier
20220330-00000001,20220330-00000001,2022-03-30 10:18:58.322363024,premium_tier
20220330-00000003,20220330-00000002,2022-03-30 11:40:57.169596126,budget_tier
20220331-00000005,20220331-00000001,2022-03-31 15:06:38.178364132,budget_tier
20220401-00000003,20220401-00000001,2022-04-01 13:25:54.130195827,random_tier
20220401-00000008,20220401-00000002,2022-04-01 20:22:46.056761570,budget_tier
20220402-00000001,20220402-00000001,2022-04-02 10:52:49.736282738,budget_tier
20220402-00000004,20220402-00000002,2022-04-02 13:12:44.679142262,budget_tier
20220402-00000005,20220402-00000003,2022-04-02 13:38:46.808037861,random_tier
20220402-00000008,20220402-00000004,2022-04-02 15:10:48.436341497,random_tier
20220402-00000011,20220402-00000005,2022-04-02 19:07:56.273147813,budget_tier
20220402-00000012,20220402-00000006,2022-04-02 19:53:02.384433531,random_tier
20220403-00000002,20220403-00000001,2022-04-03 09:42:54.542060969,budget_tier
20220403-00000003,20220403-00000002,2022-04-03 12:42:16.873883901,budget_tier
20220403-00000008,20220403-00000003,2022-04-03 15:21:04.480415573,random_tier
20220403-00000009,20220403-00000004,2022-04-03 15:40:06.212968661,budget_tier
20220403-00000013,20220404-00000001,2022-04-04 01:45:33.428011740,budget_tier
20220403-00000016,20220403-00000005,2022-04-03 23:23:00.067396284,premium_tier
20220404-00000003,20220404-00000001,2022-04-04 11:19:45.400777654,budget_tier
20220404-00000005,20220404-00000002,2022-04-04 12:53:53.212308606,budget_tier
20220404-00000006,20220404-00000003,2022-04-04 18:20:56.949659304,premium_tier
20220405-00000002,20220405-00000001,2022-04-05 13:39:42.815576924,random_tier
20220406-00000003,20220406-00000001,2022-04-06 14:06:33.252758758,premium_tier
20220406-00000006,20220406-00000002,2022-04-06 17:20:18.032990933,random_tier
20220408-00000010,20220408-00000001,2022-04-08 21:12:23.172162274,budget_tier
20220409-00000006,20220409-00000001,2022-04-09 17:53:58.921077113,premium_tier
20220409-00000010,20220409-00000002,2022-04-09 22:05:06.556333633,random_tier
20220410-00000002,20220410-00000001,2022-04-10 14:27:29.412336674,premium_tier
20220410-00000003,20220410-00000002,2022-04-10 16:17:40.535712703,random_tier
20220411-00000001,20220411-00000001,2022-04-11 20:55:23.215406635,budget_tier
20220413-00000001,20220413-00000001,2022-04-13 08:49:57.110501592,budget_tier
20220413-00000002,20220413-00000002,2022-04-13 09:21:57.415631853,budget_tier
20220415-00000005,20220415-00000001,2022-04-15 17:23:31.387595935,budget_tier
20220416-00000004,20220416-00000001,2022-04-16 13:26:18.865703614,budget_tier
20220416-00000007,20220416-00000002,2022-04-16 21:24:49.475508466,random_tier
20220416-00000008,20220417-00000001,2022-04-17 02:04:13.629130865,premium_tier
20220417-00000004,20220417-00000001,2022-04-17 12:17:43.411014770,budget_tier
20220417-00000005,20220417-00000002,2022-04-17 12:25:03.763532920,budget_tier
20220417-00000006,20220417-00000003,2022-04-17 15:14:27.068883939,budget_tier
20220422-00000002,20220422-00000001,2022-04-22 13:57:40.155372534,budget_tier
20220423-00000003,20220423-00000001,2022-04-23 12:33:24.173193085,premium_tier
20220423-00000004,20220424-00000001,2022-04-24 01:31:15.827591359,premium_tier
20220423-00000005,20220423-00000002,2022-04-23 17:11:39.630738877,budget_tier
20220423-00000006,20220423-00000003,2022-04-23 17:31:24.960760571,random_tier
20220424-00000006,20220424-00000001,2022-04-24 14:30:52.164194110,random_tier
20220424-00000010,20220424-00000002,2022-04-24 18:58:23.431841070,random_tier
20220424-00000013,20220424-00000003,2022-04-24 21:22:24.773264167,random_tier
20220424-00000015,20220424-00000004,2022-04-24 21:04:21.744329041,premium_tier
20220425-00000002,20220425-00000001,2022-04-25 11:05:21.415378008,premium_tier
20220425-00000003,20220425-00000002,2022-04-25 13:05:44.387582830,budget_tier
20220425-00000007,20220425-00000003,2022-04-25 15:46:34.493435601,budget_tier
20220426-00000002,20220426-00000001,2022-04-26 16:42:14.153446142,budget_tier
20220427-00000002,20220427-00000001,2022-04-27 12:19:45.691831460,budget_tier
20220428-00000001,20220428-00000001,2022-04-28 08:00:43.870824280,budget_tier
20220428-00000003,20220428-00000002,2022-04-28 12:36:25.310413932,premium_tier
20220429-00000002,20220429-00000001,2022-04-29 13:13:23.913089232,random_tier
20220429-00000008,20220429-00000002,2022-04-29 20:11:57.900033307,budget_tier
20220501-00000002,20220501-00000001,2022-05-01 09:48:51.304311515,budget_tier
20220501-00000004,20220501-00000002,2022-05-01 13:23:09.513699595,premium_tier
20220501-00000008,20220501-00000003,2022-05-01 18:52:29.903222083,budget_tier
20220501-00000011,20220501-00000004,2022-05-01 20:21:58.662756692,budget_tier
20220502-00000006,20220502-00000001,2022-05-02 16:11:03.605392630,budget_tier
20220504-00000001,20220504-00000001,2022-05-04 11:24:55.635189454,budget_tier
20220505-00000002,20220505-00000001,2022-05-05 13:52:50.127146172,budget_tier
20220505-00000003,20220505-00000002,2022-05-05 15:54:55.888488558,premium_tier
20220506-00000005,20220506-00000001,2022-05-06 10:36:36.990955595,premium_tier
20220506-00000007,20220506-00000002,2022-05-06 13:27:15.803344448,random_tier
20220507-00000002,20220507-00000001,2022-05-07 11:35:54.492021096,random_tier
20220507-00000003,20220507-00000002,2022-05-07 13:02:27.876585784,budget_tier
20220507-00000005,20220507-00000003,2022-05-07 13:42:54.692200685,budget_tier
20220507-00000006,20220507-00000004,2022-05-07 14:03:41.806957543,budget_tier
20220507-00000007,20220507-00000005,2022-05-07 15:02:58.856204129,random_tier
20220507-00000018,20220507-00000006,2022-05-07 23:01:55.314143062,premium_tier
20220508-00000008,20220508-00000001,2022-05-08 16:34:43.306749638,budget_tier
20220508-00000011,20220508-00000002,2022-05-08 18:04:44.387935414,budget_tier
20220509-00000001,20220509-00000001,2022-05-09 10:53:42.337719237,budget_tier
20220509-00000006,20220509-00000002,2022-05-09 18:59:15.596384582,budget_tier
20220509-00000007,20220509-00000003,2022-05-09 21:23:05.915921974,budget_tier
20220510-00000001,20220510-00000001,2022-05-10 13:58:10.808920547,budget_tier
20220510-00000004,20220510-00000002,2022-05-10 14:11:35.925392560,premium_tier
20220510-00000007,20220510-00000003,2022-05-10 21:21:25.299319886,budget_tier
20220511-00000003,20220511-00000001,2022-05-11 12:14:19.684454594,budget_tier
20220511-00000004,20220511-00000002,2022-05-11 14:11:14.688612526,random_tier
20220511-00000006,20220511-00000003,2022-05-11 15:26:25.461710567,budget_tier
20220511-00000008,20220511-00000004,2022-05-11 18:39:43.163540460,budget_tier
20220511-00000009,20220511-00000005,2022-05-11 19:25:42.531496840,random_tier
20220511-00000011,20220511-00000006,2022-05-11 21:28:00.928619779,budget_tier
20220513-00000001,20220513-00000001,2022-05-13 11:16:13.003196264,random_tier
20220513-00000004,20220513-00000002,2022-05-13 20:03:12.000777985,random_tier
20220514-00000007,20220514-00000001,2022-05-14 17:12:58.858855850,budget_tier
20220514-00000008,20220514-00000002,2022-05-14 19:17:38.535485298,random_tier
20220515-00000001,20220515-00000001,2022-05-15 09:22:15.859997287,budget_tier
20220515-00000011,20220515-00000002,2022-05-15 21:38:37.525873266,budget_tier
20220516-00000001,20220516-00000001,2022-05-16 08:13:02.561841923,budget_tier
20220516-00000006,20220516-00000002,2022-05-16 13:59:27.636690267,random_tier
20220516-00000008,20220516-00000003,2022-05-16 16:12:51.600125279,budget_tier
20220516-00000009,20220516-00000004,2022-05-16 20:57:46.896460173,budget_tier
20220517-00000001,20220517-00000001,2022-05-17 09:33:20.614842523,random_tier
20220517-00000003,20220517-00000002,2022-05-17 11:34:53.395266608,premium_tier
20220517-00000004,20220517-00000003,2022-05-17 11:34:38.473706973,random_tier
20220517-00000006,20220517-00000004,2022-05-17 14:20:09.809250908,budget_tier
20220518-00000003,20220518-00000001,2022-05-18 15:48:38.011871467,budget_tier
20220518-00000006,20220518-00000002,2022-05-18 20:10:38.787409559,budget_tier
20220519-00000006,20220519-00000001,2022-05-19 18:25:16.498032782,random_tier
20220520-00000001,20220520-00000001,2022-05-20 09:06:08.888082327,random_tier
20220520-00000002,20220520-00000002,2022-05-20 12:09:36.544720077,random_tier
20220520-00000003,20220520-00000003,2022-05-20 12:17:19.904943903,random_tier
20220520-00000007,20220520-00000004,2022-05-20 21:19:56.569693197,random_tier
20220520-00000008,20220520-00000005,2022-05-20 23:13:52.377839950,budget_tier
20220521-00000004,20220521-00000001,2022-05-21 16:32:03.524421171,budget_tier
20220521-00000006,20220521-00000002,2022-05-21 16:42:08.780687216,random_tier
20220521-00000010,20220521-00000003,2022-05-21 19:42:41.573520118,premium_tier
20220521-00000011,20220521-00000004,2022-05-21 20:14:43.245991812,random_tier
20220521-00000013,20220521-00000005,2022-05-21 21:38:33.669513576,random_tier
20220522-00000001,20220522-00000001,2022-05-22 09:09:17.774418087,budget_tier
20220522-00000002,20220522-00000002,2022-05-22 11:32:58.429497682,random_tier
20220522-00000007,20220522-00000003,2022-05-22 18:32:26.788430791,random_tier
20220523-00000003,20220524-00000001,2022-05-24 01:11:00.507068973,premium_tier
20220524-00000004,20220524-00000001,2022-05-24 20:14:31.009896897,budget_tier
20220525-00000001,20220525-00000001,2022-05-25 08:07:50.817490468,budget_tier
20220525-00000002,20220525-00000002,2022-05-25 11:03:47.979800133,random_tier
20220525-00000005,20220525-00000003,2022-05-25 17:49:06.301720785,random_tier
20220525-00000006,20220525-00000004,2022-05-25 17:20:02.210014771,budget_tier
20220526-00000003,20220526-00000001,2022-05-26 14:45:28.732956996,random_tier
20220526-00000010,20220526-00000002,2022-05-26 22:46:30.737333008,random_tier
20220527-00000003,20220527-00000001,2022-05-27 18:05:35.327195230,random_tier
20220527-00000006,20220527-00000002,2022-05-27 20:47:54.779007714,budget_tier
20220528-00000007,20220528-00000001,2022-05-28 14:36:01.174630051,budget_tier
20220528-00000014,20220528-00000002,2022-05-28 19:16:42.745870360,random_tier
20220528-00000015,20220528-00000003,2022-05-28 20:16:43.836756496,random_tier
20220528-00000018,20220528-00000004,2022-05-28 21:18:30.727779650,random_tier
20220528-00000019,20220528-00000005,2022-05-28 22:30:07.432796683,random_tier
20220528-00000020,20220528-00000006,2022-05-28 23:31:31.830763874,random_tier
20220529-00000002,20220529-00000001,2022-05-29 09:58:14.085978691,random_tier
20220530-00000005,20220530-00000001,2022-05-30 19:00:28.565671027,random_tier
20220531-00000005,20220531-00000001,2022-05-31 20:59:40.945786104,random_tier
20220602-00000006,20220603-00000001,2022-06-03 14:12:14.071384368,budget_tier
20220603-00000006,20220603-00000001,2022-06-03 17:55:10.755466623,random_tier
20220603-00000007,20220603-00000002,2022-06-03 18:06:00.059072166,random_tier
20220604-00000003,20220604-00000001,2022-06-04 12:05:34.691253854,budget_tier
20220604-00000004,20220604-00000002,2022-06-04 12:31:26.085856429,budget_tier
20220604-00000005,20220604-00000003,2022-06-04 16:19:59.859978229,budget_tier
20220604-00000009,20220604-00000004,2022-06-04 19:34:14.944906769,budget_tier
20220605-00000003,20220605-00000001,2022-06-05 10:22:20.588023984,random_tier
20220605-00000006,20220605-00000002,2022-06-05 13:48:18.319337712,budget_tier
