trx_id,tier,date,product,quantity,unit_price,total_price
20220117-00000001,premium,2022-01-17 00:27:49.199284359,salmon_fillet_500g,1,83900,83900
20220117-00000001,premium,2022-01-17 00:27:49.199284359,banana_nut_muffin,1,8200,8200
20220117-00000001,premium,2022-01-17 00:27:49.199284359,shampoo,1,19900,19900
20220117-00000001,premium,2022-01-17 00:27:49.199284359,tortilla_chips_150g,1,17600,17600
20220117-00000001,premium,2022-01-17 00:27:49.199284359,coconut_oil_500mL,1,26600,26600
20220117-00000001,premium,2022-01-17 00:27:49.199284359,black_tea_100g,4,12200,48800
20220117-00000001,premium,2022-01-17 00:27:49.199284359,white_bread,1,16100,16100
20220117-00000001,premium,2022-01-17 00:27:49.199284359,dish_soap,2,20800,41600
20220117-00000001,budget,2022-01-17 17:39:31.024462773,corn_1kg,1,32700,32700
20220117-00000001,budget,2022-01-17 17:39:31.024462773,organic_eggs_10pcs,1,29700,29700
20220117-00000001,budget,2022-01-17 17:39:31.024462773,dried_mangoes_100g,1,26900,26900
20220117-00000001,budget,2022-01-17 17:39:31.024462773,black_pepper,2,6800,13600
20220119-00000001,random,2022-01-19 16:36:37.841574853,lamb_chop_300g,3,84700,254100
20220119-00000001,random,2022-01-19 16:36:37.841574853,brown_rice_1kg,1,75500,75500
20220119-00000001,random,2022-01-19 16:36:37.841574853,almonds_200g,1,52600,52600
20220119-00000001,random,2022-01-19 16:36:37.841574853,white_bread,1,14900,14900
20220122-00000001,budget,2022-01-22 17:57:38.784054527,whole_chicken_1kg,1,61600,61600
20220122-00000001,budget,2022-01-22 17:57:38.784054527,frozen_pizza,1,48700,48700
20220124-00000001,budget,2022-01-24 11:12:15.890010063,white_rice_5kg,1,74600,74600
20220124-00000001,budget,2022-01-24 11:12:15.890010063,kale,1,5200,5200
20220124-00000001,budget,2022-01-24 11:12:15.890010063,chicken_thigh_500g,2,32600,65200
20220129-00000001,budget,2022-01-29 08:41:34.268083314,facial_cleanser,1,17100,17100
20220129-00000001,budget,2022-01-29 08:41:34.268083314,whole_chicken_1kg,4,56400,225600
20220129-00000001,budget,2022-01-29 08:41:34.268083314,shampoo,1,23300,23300
20220129-00000002,budget,2022-01-29 16:01:14.350558486,shampoo,1,18300,18300
20220129-00000002,budget,2022-01-29 16:01:14.350558486,frozen_dumplings,1,48100,48100
20220129-00000003,budget,2022-01-29 14:00:27.829950587,coconut_oil_500mL,2,27800,55600
20220129-00000003,budget,2022-01-29 14:00:27.829950587,lettuce,1,3400,3400
20220130-00000001,random,2022-01-30 09:17:04.352366306,all_purpose_cleaner,1,21200,21200
20220130-00000002,budget,2022-01-30 09:53:57.521395285,white_rice_5kg,1,79100,79100
20220130-00000002,budget,2022-01-30 09:53:57.521395285,whole_milk_1L,1,23000,23000
20220130-00000002,budget,2022-01-30 09:53:57.521395285,whole_chicken_1kg,1,57500,57500
20220131-00000001,random,2022-01-31 10:12:39.841441597,kale,2,5200,10400
20220131-00000001,random,2022-01-31 10:12:39.841441597,blueberries,1,4700,4700
20220131-00000002,premium,2022-01-31 15:44:30.508019876,toilet_paper,1,14200,14200
20220131-00000002,premium,2022-01-31 15:44:30.508019876,sunscreen,1,31600,31600
20220131-00000002,premium,2022-01-31 15:44:30.508019876,salmon_fillet_500g,1,86700,86700
20220131-00000002,premium,2022-01-31 15:44:30.508019876,mayonnaise,1,14200,14200
20220131-00000002,premium,2022-01-31 15:44:30.508019876,chicken_thigh_500g,2,37900,75800
20220131-00000002,premium,2022-01-31 15:44:30.508019876,cola_500mL,1,21600,21600
20220131-00000002,premium,2022-01-31 15:44:30.508019876,corn_1kg,1,28300,28300
20220131-00000002,premium,2022-01-31 15:44:30.508019876,chocolate_chip_cookies,3,8200,24600
20220131-00000002,premium,2022-01-31 15:44:30.508019876,cheddar_cheese_200g,1,38400,38400
20220201-00000001,premium,2022-02-01 16:17:52.200365643,chicken_breast_500g,1,38900,38900
20220201-00000001,premium,2022-02-01 16:17:52.200365643,peas_1kg,1,29100,29100
20220201-00000001,premium,2022-02-01 16:17:52.200365643,blueberries,1,4400,4400
20220201-00000001,premium,2022-02-01 16:17:52.200365643,lettuce,2,3200,6400
20220203-00000001,random,2022-02-03 12:41:20.668908750,buttered_popcorn_100g,1,13700,13700
20220203-00000001,random,2022-02-03 12:41:20.668908750,multigrain_bread,2,22200,44400
20220203-00000001,random,2022-02-03 12:41:20.668908750,lamb_leg_1kg,1,164600,164600
20220203-00000002,premium,2022-02-03 18:36:04.069145076,salmon_fillet_500g,1,74400,74400
20220203-00000002,premium,2022-02-03 18:36:04.069145076,black_pepper,2,5500,11000
20220203-00000002,premium,2022-02-03 18:36:04.069145076,brown_rice_1kg,2,81900,163800
20220203-00000002,premium,2022-02-03 18:36:04.069145076,regular_eggs_10pcs,1,17500,17500
20220203-00000002,premium,2022-02-03 18:36:04.069145076,salted_butter_200g,1,18100,18100
20220204-00000001,premium,2022-02-04 15:47:07.145396978,white_rice_5kg,1,66700,66700
20220204-00000001,premium,2022-02-04 15:47:07.145396978,raspberries,1,4700,4700
20220204-00000001,premium,2022-02-04 15:47:07.145396978,lettuce,1,2700,2700
20220204-00000001,premium,2022-02-04 15:47:07.145396978,danish,3,12300,36900
20220204-00000002,random,2022-02-04 16:59:04.947535627,black_pepper,1,6800,6800
20220204-00000002,random,2022-02-04 16:59:04.947535627,kale,1,5500,5500
20220204-00000003,budget,2022-02-04 19:23:11.381472971,orange_soda_500mL,1,20300,20300
20220204-00000003,budget,2022-02-04 19:23:11.381472971,ketchup,1,13700,13700
20220205-00000001,budget,2022-02-05 13:17:49.721219726,coconut_oil_500mL,1,26900,26900
20220205-00000002,random,2022-02-05 14:39:58.257800326,mixed_vegetables_1kg,1,30200,30200
20220205-00000003,random,2022-02-05 16:58:30.095371485,frozen_noodles,4,35200,140800
20220205-00000003,random,2022-02-05 16:58:30.095371485,oatmeal_raisin_cookies,1,10600,10600
20220205-00000004,random,2022-02-05 22:15:57.509160646,lettuce,3,2700,8100
20220205-00000004,random,2022-02-05 22:15:57.509160646,lemon_lime_500mL,1,18800,18800
20220205-00000004,random,2022-02-05 22:15:57.509160646,chocolate_muffin,1,6200,6200
20220206-00000001,random,2022-02-06 11:24:59.905229724,whole_chicken_1kg,1,58100,58100
20220206-00000002,random,2022-02-06 15:24:54.158203763,ground_beef_500g,2,63100,126200
20220207-00000001,premium,2022-02-07 16:15:44.877510031,white_rice_5kg,3,69700,209100
20220207-00000001,premium,2022-02-07 16:15:44.877510031,raspberries,2,4600,9200
20220207-00000001,premium,2022-02-07 16:15:44.877510031,chicken_breast_500g,1,40100,40100
20220207-00000001,premium,2022-02-07 16:15:44.877510031,lemon_lime_500mL,1,21600,21600
20220207-00000001,premium,2022-02-07 16:15:44.877510031,cherries,2,6200,12400
20220207-00000001,premium,2022-02-07 16:15:44.877510031,ground_coffee_250g,1,27000,27000
20220207-00000001,premium,2022-02-07 16:15:44.877510031,whole_chicken_1kg,1,57800,57800
20220208-00000001,budget,2022-02-08 06:57:50.972246734,honeydew,1,39200,39200
20220208-00000001,budget,2022-02-08 06:57:50.972246734,ketchup,2,12100,24200
20220208-00000001,budget,2022-02-08 06:57:50.972246734,organic_eggs_10pcs,1,31700,31700
20220209-00000001,random,2022-02-09 00:02:13.520994249,mozzarella_cheese_200g,4,43700,174800
20220209-00000001,random,2022-02-09 00:02:13.520994249,ground_beef_500g,1,53300,53300
20220211-00000001,budget,2022-02-11 20:54:22.521682915,lettuce,1,3100,3100
20220211-00000001,budget,2022-02-11 20:54:22.521682915,toilet_paper,1,14100,14100
20220213-00000001,premium,2022-02-13 14:24:27.852647837,kale,1,5400,5400
20220213-00000001,premium,2022-02-13 14:24:27.852647837,conditioner,1,18100,18100
20220213-00000001,premium,2022-02-13 14:24:27.852647837,mangoes,1,5400,5400
20220213-00000001,premium,2022-02-13 14:24:27.852647837,lamb_chop_300g,1,73700,73700
20220213-00000001,premium,2022-02-13 14:24:27.852647837,kale,1,5200,5200
20220213-00000001,premium,2022-02-13 14:24:27.852647837,ground_beef_500g,1,56600,56600
20220213-00000001,premium,2022-02-13 14:24:27.852647837,muffin,1,9700,9700
20220213-00000002,premium,2022-02-13 18:22:15.717921596,mustard,3,9600,28800
20220213-00000002,premium,2022-02-13 18:22:15.717921596,mineral_water_C_600mL,5,6300,31500
20220213-00000002,premium,2022-02-13 18:22:15.717921596,ground_beef_500g,1,53400,53400
20220213-00000002,premium,2022-02-13 18:22:15.717921596,spinach,1,4000,4000
20220214-00000001,premium,2022-02-14 08:31:18.370441631,brown_rice_1kg,3,73300,219900
20220214-00000001,premium,2022-02-14 08:31:18.370441631,frozen_dumplings,1,42000,42000
20220214-00000001,premium,2022-02-14 08:31:18.370441631,paprika,1,9700,9700
20220214-00000001,premium,2022-02-14 08:31:18.370441631,mozzarella_cheese_200g,2,34100,68200
20220214-00000001,premium,2022-02-14 08:31:18.370441631,whole_wheat_bread,1,18600,18600
20220214-00000001,premium,2022-02-14 08:31:18.370441631,fruit_granola_bars_100g,1,27500,27500
20220214-00000002,random,2022-02-14 10:19:21.634861599,tortilla_chips_150g,2,18100,36200
20220214-00000003,budget,2022-02-14 15:29:19.328722514,white_rice_5kg,1,69500,69500
20220214-00000003,budget,2022-02-14 15:29:19.328722514,peas_1kg,3,28900,86700
20220214-00000003,budget,2022-02-14 15:29:19.328722514,strawberries,1,5400,5400
20220214-00000003,budget,2022-02-14 15:29:19.328722514,vinaigrette_250mL,1,14700,14700
20220214-00000004,random,2022-02-14 16:24:39.163801935,green_tea_100g,1,15700,15700
20220214-00000004,random,2022-02-14 16:24:39.163801935,toothbrush,1,10000,10000
20220214-00000004,random,2022-02-14 16:24:39.163801935,teriyaki_marinade_250mL,1,22900,22900
20220214-00000004,random,2022-02-14 16:24:39.163801935,beef_roast_1kg,2,149300,298600
20220215-00000001,premium,2022-02-15 14:18:45.641770504,paper_towels,1,12000,12000
20220215-00000001,premium,2022-02-15 14:18:45.641770504,moisturizer,2,26700,53400
20220215-00000001,premium,2022-02-15 14:18:45.641770504,whole_chicken_1kg,1,58000,58000
20220215-00000001,premium,2022-02-15 14:18:45.641770504,whole_wheat_bread,1,22500,22500
20220215-00000001,premium,2022-02-15 14:18:45.641770504,chocolate_chip_cookies,3,7800,23400
20220215-00000001,premium,2022-02-15 14:18:45.641770504,brown_rice_1kg,2,79700,159400
20220215-00000001,premium,2022-02-15 14:18:45.641770504,mangoes,1,4500,4500
20220215-00000001,premium,2022-02-15 14:18:45.641770504,lemon_lime_500mL,4,19700,78800
20220215-00000002,budget,2022-02-15 18:40:18.487954339,kale,8,4600,36800
20220215-00000002,budget,2022-02-15 18:40:18.487954339,whole_chicken_1kg,1,62100,62100
20220215-00000002,budget,2022-02-15 18:40:18.487954339,white_rice_5kg,1,56300,56300
20220217-00000001,premium,2022-02-17 10:22:44.965529899,toilet_paper,2,15100,30200
20220217-00000001,premium,2022-02-17 10:22:44.965529899,kale,2,5000,10000
20220217-00000001,premium,2022-02-17 10:22:44.965529899,salmon_fillet_500g,1,86900,86900
20220217-00000001,premium,2022-02-17 10:22:44.965529899,dried_mangoes_100g,1,29500,29500
20220217-00000001,premium,2022-02-17 10:22:44.965529899,chicken_breast_500g,1,37700,37700
20220217-00000001,premium,2022-02-17 10:22:44.965529899,cola_500mL,1,20600,20600
20220217-00000001,premium,2022-02-17 10:22:44.965529899,black_tea_100g,3,11000,33000
20220217-00000001,premium,2022-02-17 10:22:44.965529899,corn_1kg,1,26900,26900
20220217-00000002,random,2022-02-17 15:13:58.036888925,ranch_dressing_250mL,2,16600,33200
20220217-00000003,random,2022-02-17 16:49:25.847484420,whole_chicken_1kg,3,59900,179700
20220217-00000003,random,2022-02-17 16:49:25.847484420,white_bread,1,12100,12100
20220217-00000004,premium,2022-02-17 22:47:29.338267983,chocolate_chip_cookies,1,7800,7800
20220217-00000004,premium,2022-02-17 22:47:29.338267983,frozen_pizza,1,55700,55700
20220217-00000004,premium,2022-02-17 22:47:29.338267983,strawberries,1,5300,5300
20220217-00000004,premium,2022-02-17 22:47:29.338267983,blueberries,2,4600,9200
20220217-00000004,premium,2022-02-17 22:47:29.338267983,sunscreen,1,31800,31800
20220217-00000004,premium,2022-02-17 22:47:29.338267983,premium_white_rice_5kg,1,101400,101400
20220217-00000004,premium,2022-02-17 22:47:29.338267983,lettuce,1,2800,2800
20220217-00000004,premium,2022-02-17 22:47:29.338267983,almonds_200g,1,63300,63300
20220219-00000001,random,2022-02-19 13:30:31.955650141,oatmeal_raisin_cookies,4,10000,40000
20220219-00000002,premium,2022-02-19 20:09:51.983369223,dori_fillet_500g,3,40900,122700
20220219-00000002,premium,2022-02-19 20:09:51.983369223,laundry_detergent,1,37200,37200
20220219-00000002,premium,2022-02-19 20:09:51.983369223,chocolate_muffin,1,6700,6700
20220219-00000002,premium,2022-02-19 20:09:51.983369223,watermelon,1,47300,47300
20220219-00000002,premium,2022-02-19 20:09:51.983369223,cantaloupe,1,33100,33100
20220219-00000002,premium,2022-02-19 20:09:51.983369223,ground_coffee_250g,1,27600,27600
20220219-00000002,premium,2022-02-19 20:09:51.983369223,cheddar_cheese_200g,2,40200,80400
20220219-00000002,premium,2022-02-19 20:09:51.983369223,mustard,2,9900,19800
20220219-00000002,premium,2022-02-19 20:09:51.983369223,organic_eggs_10pcs,1,28900,28900
20220219-00000002,premium,2022-02-19 20:09:51.983369223,shampoo,1,22700,22700
20220219-00000003,budget,2022-02-19 21:40:52.637307351,barbecue_marinade_250mL,1,25300,25300
20220219-00000003,budget,2022-02-19 21:40:52.637307351,corn_1kg,2,28500,57000
20220219-00000003,budget,2022-02-19 21:40:52.637307351,lettuce,2,2700,5400
20220220-00000001,premium,2022-02-20 00:32:01.505385155,green_tea_100g,4,14600,58400
20220220-00000001,premium,2022-02-20 00:32:01.505385155,corn_1kg,3,31500,94500
20220220-00000001,premium,2022-02-20 00:32:01.505385155,teriyaki_marinade_250mL,1,24300,24300
20220220-00000001,premium,2022-02-20 00:32:01.505385155,chocolate_cake,1,48200,48200
20220220-00000001,premium,2022-02-20 21:05:35.442950266,cherries,2,5800,11600
20220220-00000001,premium,2022-02-20 21:05:35.442950266,muffin,1,9800,9800
20220220-00000001,premium,2022-02-20 21:05:35.442950266,flavored_yogurt_150g,3,17900,53700
20220220-00000001,premium,2022-02-20 21:05:35.442950266,toothpaste,3,14500,43500
20220220-00000001,premium,2022-02-20 21:05:35.442950266,lettuce,2,3100,6200
20220220-00000001,premium,2022-02-20 21:05:35.442950266,toilet_paper,1,14100,14100
20220221-00000001,budget,2022-02-21 11:51:18.609029827,sunscreen,1,28000,28000
20220222-00000001,premium,2022-02-22 07:47:15.967110446,buttered_popcorn_100g,5,11500,57500
20220222-00000001,premium,2022-02-22 07:47:15.967110446,whole_wheat_bread,3,22200,66600
20220222-00000001,premium,2022-02-22 07:47:15.967110446,mineral_water_C_600mL,1,6300,6300
20220222-00000001,premium,2022-02-22 07:47:15.967110446,dori_fillet_500g,3,41300,123900
20220223-00000001,budget,2022-02-23 12:58:43.706762297,chicken_wings_500g,2,33400,66800
20220223-00000001,budget,2022-02-23 12:58:43.706762297,laundry_detergent,1,36500,36500
20220223-00000001,budget,2022-02-23 12:58:43.706762297,premium_white_rice_5kg,1,104600,104600
20220224-00000001,premium,2022-02-24 10:46:27.421272795,almonds_200g,1,61700,61700
20220224-00000001,premium,2022-02-24 10:46:27.421272795,dori_fillet_500g,2,42000,84000
20220224-00000001,premium,2022-02-24 10:46:27.421272795,frozen_pizza,1,51700,51700
20220224-00000001,premium,2022-02-24 10:46:27.421272795,almond_milk_1L,2,32400,64800
20220224-00000001,premium,2022-02-24 10:46:27.421272795,strawberries,2,4600,9200
20220224-00000001,premium,2022-02-24 10:46:27.421272795,brown_rice_1kg,1,82000,82000
20220224-00000001,premium,2022-02-24 10:46:27.421272795,toothpaste,1,13000,13000
20220225-00000001,premium,2022-02-25 20:09:39.473592804,toilet_paper,3,14600,43800
20220225-00000001,premium,2022-02-25 20:09:39.473592804,honey_granola_bars_100g,1,21200,21200
20220225-00000001,premium,2022-02-25 20:09:39.473592804,honey_granola_bars_100g,3,25400,76200
20220225-00000001,premium,2022-02-25 20:09:39.473592804,chicken_thigh_500g,1,42800,42800
20220225-00000001,premium,2022-02-25 20:09:39.473592804,conditioner,1,21400,21400
20220225-00000001,premium,2022-02-25 20:09:39.473592804,beef_roast_1kg,1,150300,150300
20220227-00000001,random,2022-02-27 00:21:07.316883975,dori_fillet_500g,1,43100,43100
20220227-00000001,premium,2022-02-27 09:42:03.590533731,spinach,1,4400,4400
20220227-00000001,premium,2022-02-27 09:42:03.590533731,chicken_thigh_500g,1,32400,32400
20220227-00000001,premium,2022-02-27 09:42:03.590533731,apple_juice_750mL,3,31700,95100
20220227-00000001,premium,2022-02-27 09:42:03.590533731,instant_coffee_200g,2,18900,37800
20220227-00000001,premium,2022-02-27 09:42:03.590533731,plums,1,2900,2900
20220227-00000001,premium,2022-02-27 09:42:03.590533731,coconut_oil_500mL,1,28500,28500
20220227-00000001,premium,2022-02-27 09:42:03.590533731,beef_roast_1kg,1,164700,164700
20220227-00000001,premium,2022-02-27 09:42:03.590533731,toilet_paper,1,14700,14700
20220227-00000001,premium,2022-02-27 09:42:03.590533731,conditioner,1,21200,21200
20220227-00000002,random,2022-02-27 13:34:01.333590810,sunscreen,1,32500,32500
20220227-00000002,random,2022-02-27 13:34:01.333590810,almonds_200g,1,55000,55000
20220227-00000003,random,2022-02-27 15:16:52.658859506,banana_nut_muffin,1,9200,9200
20220228-00000001,budget,2022-02-28 10:28:52.967637126,white_rice_5kg,1,70000,70000
20220228-00000001,budget,2022-02-28 10:28:52.967637126,honey_granola_bars_100g,1,22000,22000
20220228-00000001,budget,2022-02-28 10:28:52.967637126,whole_chicken_1kg,2,59400,118800
20220228-00000001,budget,2022-02-28 10:28:52.967637126,tortilla_chips_150g,1,18000,18000
20220301-00000001,random,2022-03-01 21:02:17.090972811,dori_fillet_500g,2,47700,95400
20220302-00000001,budget,2022-03-02 09:17:26.322552361,white_rice_5kg,1,76300,76300
20220302-00000002,budget,2022-03-02 19:12:51.660732556,toilet_paper,1,15500,15500
20220302-00000002,budget,2022-03-02 19:12:51.660732556,whole_chicken_1kg,5,58800,294000
20220302-00000002,budget,2022-03-02 19:12:51.660732556,lettuce,1,2500,2500
20220302-00000003,premium,2022-03-02 21:13:56.032970618,toothpaste,5,13700,68500
20220302-00000003,premium,2022-03-02 21:13:56.032970618,bananas,1,3800,3800
20220302-00000003,premium,2022-03-02 21:13:56.032970618,dori_fillet_500g,1,49500,49500
20220302-00000003,premium,2022-03-02 21:13:56.032970618,mangoes,1,4800,4800
20220302-00000003,premium,2022-03-02 21:13:56.032970618,premium_white_rice_5kg,2,124800,249600
20220302-00000003,premium,2022-03-02 21:13:56.032970618,honeydew,1,36200,36200
20220303-00000001,budget,2022-03-03 18:15:21.090441410,kale,1,5400,5400
20220303-00000001,budget,2022-03-03 18:15:21.090441410,brown_rice_1kg,1,83600,83600
20220303-00000001,budget,2022-03-03 18:15:21.090441410,barbecue_marinade_250mL,1,22700,22700
20220303-00000002,budget,2022-03-03 21:07:40.552063957,kale,1,5300,5300
20220303-00000003,budget,2022-03-03 21:00:46.545622839,frozen_pizza,1,47100,47100
20220303-00000003,budget,2022-03-03 21:00:46.545622839,all_purpose_cleaner,1,24500,24500
20220303-00000003,budget,2022-03-03 21:00:46.545622839,corn_1kg,1,29300,29300
20220303-00000003,budget,2022-03-03 21:00:46.545622839,lamb_chop_300g,1,69000,69000
20220303-00000004,budget,2022-03-03 21:00:58.534003275,mixed_vegetables_1kg,2,36100,72200
20220303-00000004,budget,2022-03-03 21:00:58.534003275,frozen_pizza,1,48200,48200
20220303-00000004,budget,2022-03-03 21:00:58.534003275,greek_yogurt_150g,1,20500,20500
20220305-00000001,budget,2022-03-05 20:40:47.872202662,chicken_thigh_500g,1,41600,41600
20220305-00000002,premium,2022-03-05 19:46:23.685759518,orange_soda_500mL,1,21300,21300
20220305-00000002,premium,2022-03-05 19:46:23.685759518,lamb_chop_300g,2,81200,162400
20220305-00000002,premium,2022-03-05 19:46:23.685759518,salmon_fillet_500g,4,78000,312000
20220305-00000002,premium,2022-03-05 19:46:23.685759518,honey_granola_bars_100g,1,24200,24200
20220305-00000002,premium,2022-03-05 19:46:23.685759518,skim_milk_1L,1,24800,24800
20220305-00000002,premium,2022-03-05 19:46:23.685759518,muffin,1,9700,9700
20220305-00000002,premium,2022-03-05 19:46:23.685759518,ground_coffee_250g,1,25400,25400
20220305-00000002,premium,2022-03-05 19:46:23.685759518,regular_eggs_10pcs,3,22000,66000
20220305-00000002,premium,2022-03-05 19:46:23.685759518,whole_chicken_1kg,4,60900,243600
20220305-00000002,premium,2022-03-05 19:46:23.685759518,dish_soap,1,20100,20100
20220306-00000001,budget,2022-03-06 06:42:14.838507419,lettuce,3,3200,9600
20220306-00000001,budget,2022-03-06 06:42:14.838507419,paper_towels,1,12100,12100
20220306-00000001,budget,2022-03-06 06:42:14.838507419,lettuce,2,3100,6200
20220306-00000002,random,2022-03-06 13:52:41.165373548,buttered_popcorn_100g,1,12600,12600
20220306-00000002,random,2022-03-06 13:52:41.165373548,buttered_popcorn_100g,1,12900,12900
20220307-00000001,premium,2022-03-07 11:54:03.263241116,teriyaki_marinade_250mL,1,26200,26200
20220307-00000001,premium,2022-03-07 11:54:03.263241116,white_rice_5kg,1,79300,79300
20220307-00000001,premium,2022-03-07 11:54:03.263241116,beef_roast_1kg,3,134400,403200
20220307-00000001,premium,2022-03-07 11:54:03.263241116,cola_500mL,4,21600,86400
20220307-00000001,premium,2022-03-07 11:54:03.263241116,organic_eggs_10pcs,1,32200,32200
20220307-00000001,premium,2022-03-07 11:54:03.263241116,dori_fillet_500g,2,38200,76400
20220307-00000001,premium,2022-03-07 11:54:03.263241116,green_tea_100g,1,16200,16200
20220307-00000002,random,2022-03-07 11:05:05.248273927,lettuce,1,2700,2700
20220307-00000002,random,2022-03-07 11:05:05.248273927,chicken_thigh_500g,6,35200,211200
20220307-00000002,random,2022-03-07 11:05:05.248273927,unsalted_butter_200g,1,22500,22500
20220307-00000002,random,2022-03-07 11:05:05.248273927,beef_steak_300g,1,80800,80800
20220307-00000003,premium,2022-03-07 23:02:16.340866973,premium_white_rice_5kg,2,100300,200600
20220307-00000003,premium,2022-03-07 23:02:16.340866973,salmon_fillet_500g,3,74800,224400
20220307-00000003,premium,2022-03-07 23:02:16.340866973,frozen_noodles,1,37000,37000
20220307-00000003,premium,2022-03-07 23:02:16.340866973,greek_yogurt_150g,1,18600,18600
20220308-00000001,premium,2022-03-08 15:10:28.698608738,peas_1kg,1,27000,27000
20220308-00000001,premium,2022-03-08 15:10:28.698608738,mustard,1,11800,11800
20220308-00000001,premium,2022-03-08 15:10:28.698608738,chocolate_granola_bars_100g,3,22600,67800
20220308-00000001,premium,2022-03-08 15:10:28.698608738,dori_fillet_500g,2,41200,82400
20220308-00000001,premium,2022-03-08 15:10:28.698608738,mineral_water_A_600mL,1,2800,2800
20220308-00000001,premium,2022-03-08 15:10:28.698608738,almonds_200g,5,49600,248000
20220308-00000001,premium,2022-03-08 15:10:28.698608738,all_purpose_cleaner,5,22300,111500
20220308-00000001,premium,2022-03-08 15:10:28.698608738,toilet_paper,2,16800,33600
20220308-00000001,premium,2022-03-08 15:10:28.698608738,coconut_oil_500mL,2,30100,60200
20220308-00000001,premium,2022-03-08 15:10:28.698608738,pineapples,1,4900,4900
20220308-00000002,random,2022-03-08 17:07:27.001221657,mangoes,3,5000,15000
20220308-00000002,random,2022-03-08 17:07:27.001221657,toothpaste,1,14000,14000
20220309-00000001,budget,2022-03-09 17:32:46.841570195,chicken_wings_500g,2,29100,58200
20220309-00000002,random,2022-03-09 22:18:08.322385050,salmon_fillet_500g,4,78700,314800
20220309-00000002,random,2022-03-09 22:18:08.322385050,kale,1,5300,5300
20220309-00000002,random,2022-03-09 22:18:08.322385050,flavored_yogurt_150g,1,15900,15900
20220309-00000002,random,2022-03-09 22:18:08.322385050,mustard,1,9900,9900
20220310-00000001,premium,2022-03-10 17:58:34.134610663,premium_white_rice_5kg,1,95600,95600
